Tropospheric aerosol and surface albedo forcing
-----------------------------------------------
year  TA+SA
-----------------------------------------------
1850  0.0000
1851 -0.0030
1852 -0.0060
1853 -0.0090
1854 -0.0120
1855 -0.0143
1856 -0.0172
1857 -0.0203
1858 -0.0233
1859 -0.0262
1860 -0.0292
1861 -0.0322
1862 -0.0353
1863 -0.0382
1864 -0.0413
1865 -0.0435
1866 -0.0465
1867 -0.0495
1868 -0.0525
1869 -0.0555
1870 -0.0585
1871 -0.0615
1872 -0.0645
1873 -0.0675
1874 -0.0705
1875 -0.0728
1876 -0.0780
1877 -0.0825
1878 -0.0878
1879 -0.0922
1880 -0.0975
1881 -0.1028
1882 -0.1080
1883 -0.1117
1884 -0.1170
1885 -0.1222
1886 -0.1275
1887 -0.1312
1888 -0.1357
1889 -0.1417
1890 -0.1455
1891 -0.1507
1892 -0.1567
1893 -0.1605
1894 -0.1650
1895 -0.1702
1896 -0.1755
1897 -0.1807
1898 -0.1845
1899 -0.1898
1900 -0.1950
1901 -0.2002
1902 -0.2062
1903 -0.2115
1904 -0.2167
1905 -0.2220
1906 -0.2280
1907 -0.2340
1908 -0.2393
1909 -0.2445
1910 -0.2505
1911 -0.2558
1912 -0.2610
1913 -0.2670
1914 -0.2730
1915 -0.2783
1916 -0.2842
1917 -0.2903
1918 -0.2955
1919 -0.3007
1920 -0.3067
1921 -0.3128
1922 -0.3180
1923 -0.3232
1924 -0.3293
1925 -0.3345
1926 -0.3405
1927 -0.3458
1928 -0.3525
1929 -0.3585
1930 -0.3645
1931 -0.3697
1932 -0.3758
1933 -0.3825
1934 -0.3893
1935 -0.3952
1936 -0.3997
1937 -0.4065
1938 -0.4125
1939 -0.4185
1940 -0.4245
1941 -0.4313
1942 -0.4365
1943 -0.4433
1944 -0.4485
1945 -0.4545
1946 -0.4613
1947 -0.4665
1948 -0.4725
1949 -0.4793
1950 -0.4845
1951 -0.4988
1952 -0.5115
1953 -0.5265
1954 -0.5393
1955 -0.5520
1956 -0.5663
1957 -0.5798
1958 -0.5932
1959 -0.6075
1960 -0.6210
1961 -0.6330
1962 -0.6450
1963 -0.6570
1964 -0.6690
1965 -0.6810
1966 -0.6938
1967 -0.7050
1968 -0.7170
1969 -0.7290
1970 -0.7418
1971 -0.7582
1972 -0.7747
1973 -0.7905
1974 -0.8077
1975 -0.8242
1976 -0.8407
1977 -0.8572
1978 -0.8730
1979 -0.8903
1980 -0.9068
1981 -0.9158
1982 -0.9247
1983 -0.9337
1984 -0.9427
1985 -0.9517
1986 -0.9615
1987 -0.9705
1988 -0.9787
1989 -0.9877
1990 -0.9967
1991 -1.0057
1992 -1.0148
1993 -1.0238
1994 -1.0328
1995 -1.0418
1996 -1.0500
1997 -1.0590
1998 -1.0673
1999 -1.0755
2000 -1.0838
2001 -1.0920
2002 -1.1003
2003 -1.1085
2004 -1.1168
2005 -1.1250
2006 -1.1325
2007 -1.1400
2008 -1.1482
2009 -1.1558
2010 -1.1632
2011 -1.1708
2012 -1.1782
2013 -1.1850
2014 -1.1925
2015 -1.1992
2016 -1.2070
2017 -1.2140
2018 -1.2200
2019 -1.2270
2020 -1.2340
2021 -1.2400
2022 -1.2470
2023 -1.2530
2024 -1.2600
2025 -1.2660
2026 -1.2720
2027 -1.2780
2028 -1.2850
2029 -1.2900
2030 -1.2960
2031 -1.3020
2032 -1.3080
2033 -1.3130
2034 -1.3190
2035 -1.3240
2036 -1.3300
2037 -1.3350
2038 -1.3400
2039 -1.3450
2040 -1.3500
2041 -1.3550
2042 -1.3600
2043 -1.3650
2044 -1.3700
2045 -1.3740
2046 -1.3780
2047 -1.3830
2048 -1.3880
2049 -1.3920
2050 -1.3960
2051 -1.4000
2052 -1.4040
2053 -1.4080
2054 -1.4120
2055 -1.4160
2056 -1.4200
2057 -1.4230
2058 -1.4260
2059 -1.4300
2060 -1.4330
2061 -1.4370
2062 -1.4400
2063 -1.4430
2064 -1.4460
2065 -1.4490
2066 -1.4520
2067 -1.4550
2068 -1.4570
2069 -1.4600
2070 -1.4620
2071 -1.4650
2072 -1.4680
2073 -1.4700
2074 -1.4720
2075 -1.4740
2076 -1.4760
2077 -1.4780
2078 -1.4800
2079 -1.4820
2080 -1.4840
2081 -1.4850
2082 -1.4870
2083 -1.4880
2084 -1.4900
2085 -1.4910
2086 -1.4920
2087 -1.4930
2088 -1.4940
2089 -1.4950
2090 -1.4950
2091 -1.4970
2092 -1.4970
2093 -1.4980
2094 -1.4980
2095 -1.4990
2096 -1.4990
2097 -1.5000
2098 -1.5000
2099 -1.5000
2100 -1.5000
2101 -1.5000
2102 -1.5000
2103 -1.5000
2104 -1.5000
2105 -1.5000
2106 -1.5000
2107 -1.5000
2108 -1.5000
2109 -1.5000
2110 -1.5000
2111 -1.5000
2112 -1.5000
2113 -1.5000
2114 -1.5000
2115 -1.5000
2116 -1.5000
2117 -1.5000
2118 -1.5000
2119 -1.5000
2120 -1.5000
2121 -1.5000
2122 -1.5000
2123 -1.5000
2124 -1.5000
2125 -1.5000
2126 -1.5000
2127 -1.5000
2128 -1.5000
2129 -1.5000
2130 -1.5000
2131 -1.5000
2132 -1.5000
2133 -1.5000
2134 -1.5000
2135 -1.5000
2136 -1.5000
2137 -1.5000
2138 -1.5000
2139 -1.5000
2140 -1.5000
