Solar forcing        
-------------
year   solar
-------------
1850  0.0000
1851  0.0013
1852  0.0022
1853 -0.0116
1854 -0.0340
1855 -0.0491
1856 -0.0538
1857 -0.0428
1858 -0.0142
1859  0.0199
1860  0.0316
1861  0.0157
1862 -0.0018
1863 -0.0132
1864 -0.0130
1865 -0.0254
1866 -0.0343
1867 -0.0487
1868 -0.0268
1869  0.0094
1870  0.0476
1871  0.0367
1872  0.0249
1873 -0.0066
1874 -0.0272
1875 -0.0488
1876 -0.0529
1877 -0.0524
1878 -0.0622
1879 -0.0667
1880 -0.0488
1881 -0.0288
1882 -0.0725
1883 -0.0538
1884 -0.0235
1885 -0.0402
1886 -0.0609
1887 -0.0668
1888 -0.0733
1889 -0.0750
1890 -0.0701
1891 -0.0334
1892 -0.0263
1893 -0.0023
1894  0.0212
1895  0.0015
1896 -0.0265
1897 -0.0496
1898 -0.0527
1899 -0.0597
1900 -0.0630
1901 -0.0732
1902 -0.0690
1903 -0.0408
1904  0.0040
1905 -0.0401
1906  0.0022
1907 -0.0240
1908 -0.0063
1909 -0.0284
1910 -0.0430
1911 -0.0567
1912 -0.0646
1913 -0.0639
1914 -0.0481
1915 -0.0032
1916  0.0367
1917  0.0545
1918  0.0542
1919  0.0091
1920 -0.0162
1921 -0.0309
1922 -0.0452
1923 -0.0420
1924 -0.0343
1925 -0.0069
1926  0.0061
1927  0.0421
1928  0.0135
1929  0.0066
1930  0.0144
1931 -0.0035
1932 -0.0214
1933 -0.0334
1934 -0.0215
1935  0.0114
1936  0.0765
1937  0.0546
1938  0.0422
1939  0.0432
1940  0.0370
1941  0.0291
1942  0.0125
1943 -0.0138
1944 -0.0020
1945  0.0395
1946  0.0401
1947  0.0769
1948  0.1097
1949  0.0888
1950  0.0553
1951  0.0093
1952  0.0187
1953  0.0011
1954  0.0044
1955  0.0269
1956  0.0892
1957  0.1669
1958  0.1520
1959  0.1023
1960  0.1018
1961  0.0452
1962  0.0136
1963  0.0052
1964  0.0089
1965  0.0159
1966  0.0473
1967  0.0692
1968  0.0817
1969  0.0960
1970  0.0929
1971  0.0457
1972  0.0578
1973  0.0250
1974  0.0099
1975  0.0043
1976  0.0009
1977  0.0383
1978  0.0953
1979  0.1627
1980  0.1694
1981  0.1770
1982  0.0979
1983  0.0949
1984  0.0208
1985 -0.0068
1986 -0.0053
1987  0.0194
1988  0.0784
1989  0.1700
1990  0.1541
1991  0.1481
1992  0.1114
1993  0.0474
1994  0.0123
1995  0.0105
1996  0.0008
1997  0.0237
1998  0.0882
1999  0.1414
2000  0.1730
2001  0.1569
2002  0.1682
2003  0.0728
2004  0.0479
2005  0.0188
2006  0.0049
