Stratospheric aerosol forcing
-----------------------------
year   strat
-----------------------------
1850 -0.0828
1851 -0.0577
1852 -0.0332
1853 -0.0142
1854 -0.0065
1855 -0.0468
1856 -0.8891
1857 -1.3838
1858 -0.6670
1859 -0.2572
1860 -0.1056
1861 -0.0784
1862 -0.3141
1863 -0.2304
1864 -0.1066
1865 -0.0460
1866 -0.0190
1867 -0.0084
1868 -0.0048
1869 -0.0138
1870 -0.0140
1871 -0.0136
1872 -0.0303
1873 -0.0692
1874 -0.0450
1875 -0.0297
1876 -0.1426
1877 -0.1211
1878 -0.0726
1879 -0.0460
1880 -0.0263
1881 -0.0153
1882 -0.0132
1883 -1.0877
1884 -3.2869
1885 -1.4603
1886 -0.8380
1887 -0.8535
1888 -0.5027
1889 -0.6563
1890 -0.8999
1891 -0.6894
1892 -0.4981
1893 -0.2172
1894 -0.0813
1895 -0.0314
1896 -0.4205
1897 -0.3877
1898 -0.2787
1899 -0.1048
1900 -0.0404
1901 -0.0171
1902 -0.4646
1903 -1.6449
1904 -0.7312
1905 -0.2892
1906 -0.1668
1907 -0.2116
1908 -0.2363
1909 -0.0922
1910 -0.0719
1911 -0.0385
1912 -0.4439
1913 -0.5539
1914 -0.2281
1915 -0.0907
1916 -0.0631
1917 -0.0512
1918 -0.0449
1919 -0.0462
1920 -0.2152
1921 -0.1761
1922 -0.0665
1923 -0.0257
1924 -0.0784
1925 -0.0657
1926 -0.0539
1927 -0.0347
1928 -0.1207
1929 -0.2260
1930 -0.1428
1931 -0.1081
1932 -0.1896
1933 -0.1535
1934 -0.0874
1935 -0.0974
1936 -0.0749
1937 -0.0648
1938 -0.1129
1939 -0.0943
1940 -0.0734
1941 -0.0447
1942 -0.0966
1943 -0.1006
1944 -0.0541
1945 -0.0510
1946 -0.0418
1947 -0.0525
1948 -0.0393
1949 -0.0751
1950 -0.0659
1951 -0.0454
1952 -0.0845
1953 -0.0780
1954 -0.0830
1955 -0.0414
1956 -0.0261
1957 -0.0119
1958 -0.0058
1959 -0.0046
1960 -0.1062
1961 -0.2478
1962 -0.3047
1963 -1.0572
1964 -1.6489
1965 -0.9932
1966 -0.5344
1967 -0.3335
1968 -0.6304
1969 -0.7912
1970 -0.3810
1971 -0.1491
1972 -0.0903
1973 -0.1792
1974 -0.2923
1975 -0.6929
1976 -0.3134
1977 -0.1171
1978 -0.1735
1979 -0.2108
1980 -0.1081
1981 -0.1148
1982 -1.2081
1983 -1.7306
1984 -0.6936
1985 -0.2906
1986 -0.3120
1987 -0.2377
1988 -0.1750
1989 -0.1413
1990 -0.1411
1991 -1.2401
1992 -2.7863
1993 -1.1270
1994 -0.4588
1995 -0.2216
1996 -0.1495
1997 -0.1200
1998 -0.0644
1999 -0.0487
2000 -0.0483
2001 -0.0485
2002 -0.0481
2003 -0.0621
2004 -0.0558
2005 -0.0790
2006 -0.0887
2007 -0.1001
2008 -0.0872
2009 -0.1075
2010 -0.0820
2011 -0.1133
2012 -0.0847
2013 -0.1000
2014 -0.1000
2015 -0.1000
2016 -0.1000
2017 -0.1000
2018 -0.1000
2019 -0.1000
2020 -0.1000
2021 -0.1000
2022 -0.1000
2023 -0.1000
2024 -0.1000
2025 -0.1000
2026 -0.1000
2027 -0.1000
2028 -0.1000
2029 -0.1000
2030 -1.0572
2031 -1.6489
2032 -0.9932
2033 -0.5344
2034 -0.3335
2035 -0.6304
2036 -0.7912
2037 -0.3810
2038 -0.1000
2039 -0.1000
2040 -0.1000
2041 -0.1000
2042 -0.1000
2043 -0.1000
2044 -0.1000
2045 -0.1000
2046 -0.1000
2047 -0.1000
2048 -0.1000
2049 -0.1000
2050 -0.1000
2051 -0.1000
2052 -0.1000
2053 -0.1000
2054 -0.1000
2055 -0.1000
2056 -0.1000
2057 -0.1000
2058 -0.1000
2059 -0.1000
2060 -1.2081
2061 -1.7306
2062 -0.6936
2063 -0.2906
2064 -0.3120
2065 -0.2377
2066 -0.1750
2067 -0.1413
2068 -0.1000
2069 -0.1000
2070 -0.1000
2071 -0.1000
2072 -0.1000
2073 -0.1000
2074 -0.1000
2075 -0.1000
2076 -0.1000
2077 -0.1000
2078 -0.1000
2079 -0.1000
2080 -0.1000
2081 -0.1000
2082 -0.1000
2083 -0.1000
2084 -0.1000
2085 -0.1000
2086 -0.1000
2087 -0.1000
2088 -0.1000
2089 -0.1000
2090 -1.2401
2091 -2.7863
2092 -1.1270
2093 -0.4588
2094 -0.2216
2095 -0.1495
2096 -0.1200
2097 -0.0644
2098 -0.1000
2099 -0.1000
2100 -0.1000
2101 -0.0485
2102 -0.0481
2103 -0.0621
2104 -0.0558
2105 -0.0790
2106 -0.0887
2107 -0.1001
2108 -0.0872
2109 -0.1075
2110 -0.0820
2111 -0.1133
2112 -0.0847
2113 -0.1000
2114 -0.1000
2115 -0.1000
2116 -0.1000
2117 -0.1000
2118 -0.1000
2119 -0.1000
2120 -0.1000
2121 -0.1000
2122 -0.1000
2123 -0.1000
2124 -0.1000
2125 -0.1000
2126 -0.1000
