GHG forcing with CO2 extraction (W/m2)
--------------------------------------------
year    +2%   con450  con350    -3%     -6%
--------------------------------------------
1850  0.0000  0.0000  0.0000  0.0000  0.0000
1851  0.0007  0.0007  0.0007  0.0007  0.0007
1852  0.0013  0.0013  0.0013  0.0013  0.0013
1853  0.0031  0.0031  0.0031  0.0031  0.0031
1854  0.0038  0.0038  0.0038  0.0038  0.0038
1855  0.0085  0.0085  0.0085  0.0085  0.0085
1856  0.0170  0.0170  0.0170  0.0170  0.0170
1857  0.0236  0.0236  0.0236  0.0236  0.0236
1858  0.0302  0.0302  0.0302  0.0302  0.0302
1859  0.0361  0.0361  0.0361  0.0361  0.0361
1860  0.0439  0.0439  0.0439  0.0439  0.0439
1861  0.0514  0.0514  0.0514  0.0514  0.0514
1862  0.0542  0.0542  0.0542  0.0542  0.0542
1863  0.0586  0.0586  0.0586  0.0586  0.0586
1864  0.0633  0.0633  0.0633  0.0633  0.0633
1865  0.0670  0.0670  0.0670  0.0670  0.0670
1866  0.0715  0.0715  0.0715  0.0715  0.0715
1867  0.0752  0.0752  0.0752  0.0752  0.0752
1868  0.0797  0.0797  0.0797  0.0797  0.0797
1869  0.0840  0.0840  0.0840  0.0840  0.0840
1870  0.0895  0.0895  0.0895  0.0895  0.0895
1871  0.0956  0.0956  0.0956  0.0956  0.0956
1872  0.0994  0.0994  0.0994  0.0994  0.0994
1873  0.1058  0.1058  0.1058  0.1058  0.1058
1874  0.1114  0.1114  0.1114  0.1114  0.1114
1875  0.1188  0.1188  0.1188  0.1188  0.1188
1876  0.1221  0.1221  0.1221  0.1221  0.1221
1877  0.1287  0.1287  0.1287  0.1287  0.1287
1878  0.1425  0.1425  0.1425  0.1425  0.1425
1879  0.1548  0.1548  0.1548  0.1548  0.1548
1880  0.1721  0.1721  0.1721  0.1721  0.1721
1881  0.1863  0.1863  0.1863  0.1863  0.1863
1882  0.1995  0.1995  0.1995  0.1995  0.1995
1883  0.2118  0.2118  0.2118  0.2118  0.2118
1884  0.2220  0.2220  0.2220  0.2220  0.2220
1885  0.2313  0.2313  0.2313  0.2313  0.2313
1886  0.2435  0.2435  0.2435  0.2435  0.2435
1887  0.2493  0.2493  0.2493  0.2493  0.2493
1888  0.2548  0.2548  0.2548  0.2548  0.2548
1889  0.2592  0.2592  0.2592  0.2592  0.2592
1890  0.2657  0.2657  0.2657  0.2657  0.2657
1891  0.2720  0.2720  0.2720  0.2720  0.2720
1892  0.2774  0.2774  0.2774  0.2774  0.2774
1893  0.2797  0.2797  0.2797  0.2797  0.2797
1894  0.2812  0.2812  0.2812  0.2812  0.2812
1895  0.2849  0.2849  0.2849  0.2849  0.2849
1896  0.2894  0.2894  0.2894  0.2894  0.2894
1897  0.2922  0.2922  0.2922  0.2922  0.2922
1898  0.2949  0.2949  0.2949  0.2949  0.2949
1899  0.3050  0.3050  0.3050  0.3050  0.3050
1900  0.3164  0.3164  0.3164  0.3164  0.3164
1901  0.3293  0.3293  0.3293  0.3293  0.3293
1902  0.3410  0.3410  0.3410  0.3410  0.3410
1903  0.3532  0.3532  0.3532  0.3532  0.3532
1904  0.3677  0.3677  0.3677  0.3677  0.3677
1905  0.3798  0.3798  0.3798  0.3798  0.3798
1906  0.3931  0.3931  0.3931  0.3931  0.3931
1907  0.4044  0.4044  0.4044  0.4044  0.4044
1908  0.4187  0.4187  0.4187  0.4187  0.4187
1909  0.4301  0.4301  0.4301  0.4301  0.4301
1910  0.4440  0.4440  0.4440  0.4440  0.4440
1911  0.4568  0.4568  0.4568  0.4568  0.4568
1912  0.4706  0.4706  0.4706  0.4706  0.4706
1913  0.4807  0.4807  0.4807  0.4807  0.4807
1914  0.4893  0.4893  0.4893  0.4893  0.4893
1915  0.4983  0.4983  0.4983  0.4983  0.4983
1916  0.5102  0.5102  0.5102  0.5102  0.5102
1917  0.5233  0.5233  0.5233  0.5233  0.5233
1918  0.5370  0.5370  0.5370  0.5370  0.5370
1919  0.5474  0.5474  0.5474  0.5474  0.5474
1920  0.5602  0.5602  0.5602  0.5602  0.5602
1921  0.5714  0.5714  0.5714  0.5714  0.5714
1922  0.5845  0.5845  0.5845  0.5845  0.5845
1923  0.5967  0.5967  0.5967  0.5967  0.5967
1924  0.6106  0.6106  0.6106  0.6106  0.6106
1925  0.6238  0.6238  0.6238  0.6238  0.6238
1926  0.6380  0.6380  0.6380  0.6380  0.6380
1927  0.6531  0.6531  0.6531  0.6531  0.6531
1928  0.6670  0.6670  0.6670  0.6670  0.6670
1929  0.6820  0.6820  0.6820  0.6820  0.6820
1930  0.6931  0.6931  0.6931  0.6931  0.6931
1931  0.7075  0.7075  0.7075  0.7075  0.7075
1932  0.7196  0.7196  0.7196  0.7196  0.7196
1933  0.7354  0.7354  0.7354  0.7354  0.7354
1934  0.7478  0.7478  0.7478  0.7478  0.7478
1935  0.7618  0.7618  0.7618  0.7618  0.7618
1936  0.7760  0.7760  0.7760  0.7760  0.7760
1937  0.7884  0.7884  0.7884  0.7884  0.7884
1938  0.8026  0.8026  0.8026  0.8026  0.8026
1939  0.8124  0.8124  0.8124  0.8124  0.8124
1940  0.8173  0.8173  0.8173  0.8173  0.8173
1941  0.8194  0.8194  0.8194  0.8194  0.8194
1942  0.8192  0.8192  0.8192  0.8192  0.8192
1943  0.8215  0.8215  0.8215  0.8215  0.8215
1944  0.8215  0.8215  0.8215  0.8215  0.8215
1945  0.8293  0.8293  0.8293  0.8293  0.8293
1946  0.8341  0.8341  0.8341  0.8341  0.8341
1947  0.8443  0.8443  0.8443  0.8443  0.8443
1948  0.8510  0.8510  0.8510  0.8510  0.8510
1949  0.8660  0.8660  0.8660  0.8660  0.8660
1950  0.8817  0.8817  0.8817  0.8817  0.8817
1951  0.8990  0.8990  0.8990  0.8990  0.8990
1952  0.9148  0.9148  0.9148  0.9148  0.9148
1953  0.9323  0.9323  0.9323  0.9323  0.9323
1954  0.9518  0.9518  0.9518  0.9518  0.9518
1955  0.9730  0.9730  0.9730  0.9730  0.9730
1956  0.9942  0.9942  0.9942  0.9942  0.9942
1957  1.0183  1.0183  1.0183  1.0183  1.0183
1958  1.0434  1.0434  1.0434  1.0434  1.0434
1959  1.0714  1.0714  1.0714  1.0714  1.0714
1960  1.1036  1.1036  1.1036  1.1036  1.1036
1961  1.1294  1.1294  1.1294  1.1294  1.1294
1962  1.1567  1.1567  1.1567  1.1567  1.1567
1963  1.1839  1.1839  1.1839  1.1839  1.1839
1964  1.2094  1.2094  1.2094  1.2094  1.2094
1965  1.2342  1.2342  1.2342  1.2342  1.2342
1966  1.2786  1.2786  1.2786  1.2786  1.2786
1967  1.3091  1.3091  1.3091  1.3091  1.3091
1968  1.3413  1.3413  1.3413  1.3413  1.3413
1969  1.3809  1.3809  1.3809  1.3809  1.3809
1970  1.4246  1.4246  1.4246  1.4246  1.4246
1971  1.4624  1.4624  1.4624  1.4624  1.4624
1972  1.5064  1.5064  1.5064  1.5064  1.5064
1973  1.5652  1.5652  1.5652  1.5652  1.5652
1974  1.6025  1.6025  1.6025  1.6025  1.6025
1975  1.6460  1.6460  1.6460  1.6460  1.6460
1976  1.6810  1.6810  1.6810  1.6810  1.6810
1977  1.7382  1.7382  1.7382  1.7382  1.7382
1978  1.7917  1.7917  1.7917  1.7917  1.7917
1979  1.8477  1.8477  1.8477  1.8477  1.8477
1980  1.8996  1.8996  1.8996  1.8996  1.8996
1981  1.9457  1.9457  1.9457  1.9457  1.9457
1982  1.9860  1.9860  1.9860  1.9860  1.9860
1983  2.0371  2.0371  2.0371  2.0371  2.0371
1984  2.0883  2.0883  2.0883  2.0883  2.0883
1985  2.1336  2.1336  2.1336  2.1336  2.1336
1986  2.1822  2.1822  2.1822  2.1822  2.1822
1987  2.2284  2.2284  2.2284  2.2284  2.2284
1988  2.2915  2.2915  2.2915  2.2915  2.2915
1989  2.3417  2.3417  2.3417  2.3417  2.3417
1990  2.3832  2.3832  2.3832  2.3832  2.3832
1991  2.4218  2.4218  2.4218  2.4218  2.4218
1992  2.4505  2.4505  2.4505  2.4505  2.4505
1993  2.4677  2.4677  2.4677  2.4677  2.4677
1994  2.4996  2.4996  2.4996  2.4996  2.4996
1995  2.5371  2.5371  2.5371  2.5371  2.5371
1996  2.5716  2.5716  2.5716  2.5716  2.5716
1997  2.5975  2.5975  2.5975  2.5975  2.5975
1998  2.6528  2.6528  2.6528  2.6528  2.6528
1999  2.6952  2.6952  2.6952  2.6952  2.6952
2000  2.7206  2.7206  2.7206  2.7206  2.7206
2001  2.7506  2.7506  2.7506  2.7506  2.7506
2002  2.7865  2.7865  2.7865  2.7865  2.7865
2003  2.8331  2.8331  2.8331  2.8331  2.8331
2004  2.8682  2.8682  2.8682  2.8682  2.8682
2005  2.9010  2.9010  2.9010  2.9010  2.9010
2006  2.9399  2.9399  2.9399  2.9399  2.9399
2007  2.9750  2.9750  2.9750  2.9750  2.9750
2008  3.0167  3.0167  3.0167  3.0167  3.0167
2009  3.0466  3.0466  3.0466  3.0466  3.0466
2010  3.0915  3.0915  3.0915  3.0915  3.0915
2011  3.1274  3.1274  3.1274  3.1274  3.1274
2012  3.1646  3.1646  3.1646  3.1646  3.1646
2013  3.2131  3.2131  3.2131  3.2131  3.2131
2014  3.2508  3.2508  3.2508  3.2508  3.2508
2015  3.2960  3.2960  3.2960  3.2960  3.2960
2016  3.2733  3.2720  3.2720  3.2720  3.2720
2017  3.3144  3.3108  3.3108  3.3108  3.3108
2018  3.3561  3.3491  3.3491  3.3491  3.3491
2019  3.3984  3.3869  3.3869  3.3869  3.3869
2020  3.4414  3.4243  3.4243  3.4243  3.4243
2021  3.4759  3.4540  3.4534  3.4523  3.4506
2022  3.5090  3.4830  3.4811  3.4783  3.4736
2023  3.5411  3.5115  3.5077  3.5025  3.4937
2024  3.5683  3.5356  3.5294  3.5211  3.5074
2025  3.5966  3.5612  3.5520  3.5403  3.5208
2026  3.6211  3.5835  3.5709  3.5551  3.5292
2027  3.6461  3.6065  3.5898  3.5697  3.5369
