Global mean temperature (C)
relative to 1880-1920 mean
12-month running mean
---------------------------
    year     T_anomaly
---------------------------
  1880.500    0.0634
  1880.583    0.0790
  1880.667    0.0846
  1880.750    0.1001
  1880.833    0.1202
  1880.917    0.1286
  1881.000    0.1289
  1881.083    0.1432
  1881.167    0.1477
  1881.250    0.1544
  1881.333    0.1520
  1881.417    0.1458
  1881.500    0.1509
  1881.583    0.1683
  1881.667    0.1878
  1881.750    0.1891
  1881.833    0.1752
  1881.917    0.1640
  1882.000    0.1667
  1882.083    0.1632
  1882.167    0.1678
  1882.250    0.1745
  1882.333    0.1718
  1882.417    0.1763
  1882.500    0.1681
  1882.583    0.1318
  1882.667    0.0891
  1882.750    0.0726
  1882.833    0.0691
  1882.917    0.0627
  1883.000    0.0737
  1883.083    0.0754
  1883.167    0.0619
  1883.250    0.0472
  1883.333    0.0565
  1883.417    0.0571
  1883.500    0.0631
  1883.583    0.0760
  1883.667    0.1015
  1883.750    0.0882
  1883.833    0.0788
  1883.917    0.0735
  1884.000    0.0518
  1884.083    0.0306
  1884.167    0.0200
  1884.250    0.0160
  1884.333    0.0073
  1884.417   -0.0007
  1884.500   -0.0097
  1884.583   -0.0485
  1884.667   -0.0636
  1884.750   -0.0552
  1884.833   -0.0621
  1884.917   -0.0704
  1885.000   -0.0808
  1885.083   -0.0765
  1885.167   -0.0781
  1885.250   -0.0749
  1885.333   -0.0726
  1885.417   -0.0665
  1885.500   -0.0473
  1885.583   -0.0283
  1885.667   -0.0415
  1885.750   -0.0561
  1885.833   -0.0438
  1885.917   -0.0318
  1886.000   -0.0222
  1886.083   -0.0118
  1886.167   -0.0150
  1886.250   -0.0149
  1886.333   -0.0199
  1886.417   -0.0230
  1886.500   -0.0391
  1886.583   -0.0591
  1886.667   -0.0611
  1886.750   -0.0527
  1886.833   -0.0591
  1886.917   -0.0642
  1887.000   -0.0486
  1887.083   -0.0505
  1887.167   -0.0470
  1887.250   -0.0473
  1887.333   -0.0528
  1887.417   -0.0525
  1887.500   -0.0630
  1887.583   -0.0437
  1887.667   -0.0389
  1887.750   -0.0524
  1887.833   -0.0451
  1887.917   -0.0362
  1888.000   -0.0366
  1888.083   -0.0287
  1888.167   -0.0155
  1888.250   -0.0057
  1888.333    0.0218
  1888.417    0.0429
  1888.500    0.0639
  1888.583    0.0830
  1888.667    0.1301
  1888.750    0.1734
  1888.833    0.2008
  1888.917    0.2173
  1889.000    0.2250
  1889.083    0.2286
  1889.167    0.2234
  1889.250    0.2142
  1889.333    0.1951
  1889.417    0.1705
  1889.500    0.1558
  1889.583    0.1330
  1889.667    0.0808
  1889.750    0.0431
  1889.833    0.0081
  1889.917   -0.0292
  1890.000   -0.0425
  1890.083   -0.0626
  1890.167   -0.0779
  1890.250   -0.0920
  1890.333   -0.0926
  1890.417   -0.0984
  1890.500   -0.0982
  1890.583   -0.0971
  1890.667   -0.0987
  1890.750   -0.0771
  1890.833   -0.0672
  1890.917   -0.0419
  1891.000   -0.0372
  1891.083   -0.0311
  1891.167   -0.0189
  1891.250   -0.0006
  1891.333   -0.0014
  1891.417   -0.0016
  1891.500    0.0218
  1891.583    0.0385
  1891.667    0.0680
  1891.750    0.0501
  1891.833    0.0423
  1891.917    0.0358
  1892.000    0.0376
  1892.083    0.0329
  1892.167    0.0340
  1892.250    0.0246
  1892.333    0.0306
