global surface temperature without CO2 extraction
-------------------------------------------------
 year     +2%      const      -3%       -6%
-------------------------------------------------
 1850   -0.0390   -0.0390   -0.0390   -0.0390
 1851   -0.0014   -0.0014   -0.0014   -0.0014
 1852    0.0314    0.0314    0.0314    0.0314
 1853    0.0516    0.0516    0.0516    0.0516
 1854    0.0638    0.0638    0.0638    0.0638
 1855    0.0670    0.0670    0.0670    0.0670
 1856   -0.0245   -0.0245   -0.0245   -0.0245
 1857   -0.1506   -0.1506   -0.1506   -0.1506
 1858   -0.1503   -0.1503   -0.1503   -0.1503
 1859   -0.0856   -0.0856   -0.0856   -0.0856
 1860   -0.0258   -0.0258   -0.0258   -0.0258
 1861    0.0100    0.0100    0.0100    0.0100
 1862    0.0029    0.0029    0.0029    0.0029
 1863    0.0028    0.0028    0.0028    0.0028
 1864    0.0210    0.0210    0.0210    0.0210
 1865    0.0411    0.0411    0.0411    0.0411
 1866    0.0621    0.0621    0.0621    0.0621
 1867    0.0807    0.0807    0.0807    0.0807
 1868    0.0942    0.0942    0.0942    0.0942
 1869    0.1059    0.1059    0.1059    0.1059
 1870    0.1185    0.1185    0.1185    0.1185
 1871    0.1273    0.1273    0.1273    0.1273
 1872    0.1320    0.1320    0.1320    0.1320
 1873    0.1282    0.1282    0.1282    0.1282
 1874    0.1260    0.1260    0.1260    0.1260
 1875    0.1256    0.1256    0.1256    0.1256
 1876    0.1124    0.1124    0.1124    0.1124
 1877    0.1049    0.1049    0.1049    0.1049
 1878    0.1066    0.1066    0.1066    0.1066
 1879    0.1115    0.1115    0.1115    0.1115
 1880    0.1201    0.1201    0.1201    0.1201
 1881    0.1306    0.1306    0.1306    0.1306
 1882    0.1344    0.1344    0.1344    0.1344
 1883    0.0189    0.0189    0.0189    0.0189
 1884   -0.3167   -0.3167   -0.3167   -0.3167
 1885   -0.3612   -0.3612   -0.3612   -0.3612
 1886   -0.2798   -0.2798   -0.2798   -0.2798
 1887   -0.2405   -0.2405   -0.2405   -0.2405
 1888   -0.1892   -0.1892   -0.1892   -0.1892
 1889   -0.1720   -0.1720   -0.1720   -0.1720
 1890   -0.1950   -0.1950   -0.1950   -0.1950
 1891   -0.1863   -0.1863   -0.1863   -0.1863
 1892   -0.1532   -0.1532   -0.1532   -0.1532
 1893   -0.0905   -0.0905   -0.0905   -0.0905
 1894   -0.0140   -0.0140   -0.0140   -0.0140
 1895    0.0338    0.0338    0.0338    0.0338
 1896    0.0168    0.0168    0.0168    0.0168
 1897    0.0024    0.0024    0.0024    0.0024
 1898    0.0088    0.0088    0.0088    0.0088
 1899    0.0364    0.0364    0.0364    0.0364
 1900    0.0667    0.0667    0.0667    0.0667
 1901    0.0887    0.0887    0.0887    0.0887
 1902    0.0541    0.0541    0.0541    0.0541
 1903   -0.1051   -0.1051   -0.1051   -0.1051
 1904   -0.1164   -0.1164   -0.1164   -0.1164
 1905   -0.0553   -0.0553   -0.0553   -0.0553
 1906    0.0029    0.0029    0.0029    0.0029
 1907    0.0310    0.0310    0.0310    0.0310
 1908    0.0464    0.0464    0.0464    0.0464
 1909    0.0714    0.0714    0.0714    0.0714
 1910    0.0920    0.0920    0.0920    0.0920
 1911    0.1089    0.1089    0.1089    0.1089
 1912    0.0788    0.0788    0.0788    0.0788
 1913    0.0496    0.0496    0.0496    0.0496
 1914    0.0680    0.0680    0.0680    0.0680
 1915    0.1059    0.1059    0.1059    0.1059
 1916    0.1382    0.1382    0.1382    0.1382
 1917    0.1637    0.1637    0.1637    0.1637
 1918    0.1830    0.1830    0.1830    0.1830
 1919    0.1918    0.1918    0.1918    0.1918
 1920    0.1772    0.1772    0.1772    0.1772
 1921    0.1696    0.1696    0.1696    0.1696
 1922    0.1819    0.1819    0.1819    0.1819
 1923    0.1993    0.1993    0.1993    0.1993
 1924    0.2057    0.2057    0.2057    0.2057
 1925    0.2141    0.2141    0.2141    0.2141
 1926    0.2247    0.2247    0.2247    0.2247
 1927    0.2396    0.2396    0.2396    0.2396
 1928    0.2389    0.2389    0.2389    0.2389
 1929    0.2256    0.2256    0.2256    0.2256
 1930    0.2290    0.2290    0.2290    0.2290
 1931    0.2373    0.2373    0.2373    0.2373
 1932    0.2321    0.2321    0.2321    0.2321
 1933    0.2309    0.2309    0.2309    0.2309
 1934    0.2413    0.2413    0.2413    0.2413
 1935    0.2530    0.2530    0.2530    0.2530
 1936    0.2716    0.2716    0.2716    0.2716
 1937    0.2845    0.2845    0.2845    0.2845
 1938    0.2877    0.2877    0.2877    0.2877
 1939    0.2933    0.2933    0.2933    0.2933
 1940    0.3000    0.3000    0.3000    0.3000
 1941    0.3072    0.3072    0.3072    0.3072
 1942    0.3053    0.3053    0.3053    0.3053
 1943    0.2997    0.2997    0.2997    0.2997
 1944    0.3025    0.3025    0.3025    0.3025
 1945    0.3111    0.3111    0.3111    0.3111
 1946    0.3179    0.3179    0.3179    0.3179
 1947    0.3259    0.3259    0.3259    0.3259
 1948    0.3378    0.3378    0.3378    0.3378
 1949    0.3412    0.3412    0.3412    0.3412
 1950    0.3414    0.3414    0.3414    0.3414
 1951    0.3399    0.3399    0.3399    0.3399
 1952    0.3369    0.3369    0.3369    0.3369
 1953    0.3346    0.3346    0.3346    0.3346
 1954    0.3341    0.3341    0.3341    0.3341
 1955    0.3422    0.3422    0.3422    0.3422
 1956    0.3584    0.3584    0.3584    0.3584
 1957    0.3816    0.3816    0.3816    0.3816
 1958    0.3984    0.3984    0.3984    0.3984
 1959    0.4058    0.4058    0.4058    0.4058
 1960    0.4020    0.4020    0.4020    0.4020
 1961    0.3791    0.3791    0.3791    0.3791
 1962    0.3549    0.3549    0.3549    0.3549
 1963    0.2562    0.2562    0.2562    0.2562
 1964    0.1153    0.1153    0.1153    0.1153
 1965    0.0933    0.0933    0.0933    0.0933
 1966    0.1492    0.1492    0.1492    0.1492
 1967    0.2110    0.2110    0.2110    0.2110
 1968    0.2174    0.2174    0.2174    0.2174
 1969    0.2002    0.2002    0.2002    0.2002
 1970    0.2382    0.2382    0.2382    0.2382
 1971    0.2954    0.2954    0.2954    0.2954
 1972    0.3448    0.3448    0.3448    0.3448
 1973    0.3741    0.3741    0.3741    0.3741
 1974    0.3859    0.3859    0.3859    0.3859
 1975    0.3503    0.3503    0.3503    0.3503
 1976    0.3661    0.3661    0.3661    0.3661
 1977    0.4168    0.4168    0.4168    0.4168
 1978    0.4583    0.4583    0.4583    0.4583
 1979    0.4938    0.4938    0.4938    0.4938
 1980    0.5340    0.5340    0.5340    0.5340
 1981    0.5676    0.5676    0.5676    0.5676
 1982    0.4628    0.4628    0.4628    0.4628
 1983    0.3237    0.3237    0.3237    0.3237
 1984    0.3485    0.3485    0.3485    0.3485
 1985    0.4330    0.4330    0.4330    0.4330
 1986    0.4856    0.4856    0.4856    0.4856
 1987    0.5294    0.5294    0.5294    0.5294
 1988    0.5803    0.5803    0.5803    0.5803
 1989    0.6356    0.6356    0.6356    0.6356
 1990    0.6765    0.6765    0.6765    0.6765
 1991    0.5840    0.5840    0.5840    0.5840
 1992    0.3399    0.3399    0.3399    0.3399
 1993    0.3495    0.3495    0.3495    0.3495
 1994    0.4628    0.4628    0.4628    0.4628
 1995    0.5595    0.5595    0.5595    0.5595
 1996    0.6284    0.6284    0.6284    0.6284
 1997    0.6801    0.6801    0.6801    0.6801
 1998    0.7343    0.7343    0.7343    0.7343
 1999    0.7857    0.7857    0.7857    0.7857
 2000    0.8285    0.8285    0.8285    0.8285
 2001    0.8677    0.8677    0.8677    0.8677
 2002    0.9130    0.9130    0.9130    0.9130
 2003    0.9337    0.9337    0.9337    0.9337
 2004    0.9480    0.9480    0.9480    0.9480
 2005    0.9574    0.9574    0.9574    0.9574
 2006    0.9667    0.9667    0.9667    0.9667
 2007    0.9754    0.9754    0.9754    0.9754
 2008    0.9870    0.9870    0.9870    0.9870
 2009    0.9974    0.9974    0.9974    0.9974
 2010    1.0174    1.0174    1.0174    1.0174
 2011    1.0390    1.0390    1.0390    1.0390
 2012    1.0646    1.0646    1.0646    1.0646
 2013    1.0902    1.0902    1.0902    1.0902
 2014    1.1136    1.1136    1.1136    1.1136
 2015    1.1370    1.1370    1.1370    1.1370
 2016    1.1476    1.1474    1.1474    1.1474
 2017    1.1558    1.1553    1.1553    1.1553
 2018    1.1645    1.1634    1.1634    1.1634
 2019    1.1729    1.1708    1.1708    1.1708
 2020    1.1842    1.1807    1.1807    1.1807
 2021    1.2041    1.1989    1.1987    1.1985
 2022    1.2298    1.2225    1.2217    1.2210
 2023    1.2592    1.2495    1.2478    1.2462
 2024    1.2845    1.2719    1.2688    1.2659
 2025    1.3065    1.2907    1.2858    1.2812
 2026    1.3240    1.3044    1.2973    1.2907
 2027    1.3377    1.3141    1.3043    1.2954
 2028    1.3492    1.3211    1.3081    1.2966
 2029    1.3594    1.3264    1.3098    1.2954
 2030    1.2608    1.2224    1.2018    1.1841
 2031    1.1194    1.0753    1.0503    1.0292
 2032    1.1094    1.0592    1.0294    1.0046
 2033    1.1800    1.1232    1.0881    1.0595
 2034    1.2594    1.1955    1.1549    1.1224
 2035    1.2804    1.2090    1.1625    1.1258
 2036    1.2737    1.1945    1.1417    1.1009
 2037    1.3174    1.2298    1.1705    1.1253
 2038    1.3878    1.2915    1.2253    1.1758
 2039    1.4381    1.3325    1.2592    1.2053
 2040    1.4783    1.3630    1.2823    1.2239
 2041    1.5145    1.3891    1.3006    1.2377
 2042    1.5452    1.4092    1.3127    1.2454
 2043    1.5793    1.4323    1.3276    1.2557
