-----------------------------------------------------    
CO2 Emissions by Bunker Fuels (Mt/year)                  
Summed over All Countries in
http://cdiac.ornl.gov/ftp/ndp030/nation.1751_2013.ems
-----------------------------------------------------    
Year  Bunker         
1950     35
1951     42
1952     43
1953     44
1954     44
1955     51
1956     55
1957     61
1958     57
1959     58
1960     65
1961     72
1962     74
1963     78
1964     85
1965     88
1966     95
1967    102
1968    108
1969    113
1970    119
1971    126
1972    134
1973    144
1974    134
1975    122
1976    120
1977    123
1978    125
1979    125
1980    122
1981    113
1982    102
1983     98
1984     98
1985    100
1986    108
1987    118
1988    122
1989    127
1990    148
1991    143
1992    160
1993    165
1994    170
1995    179
1996    191
1997    197
1998    209
1999    221
2000    226
2001    217
2002    228
2003    231
2004    250
2005    262
2006    276
2007    290
2008    294
2009    283
2010    306
2011    313
2012    299
2013    304
-----------------------------------------------------    
