 Heat Storage in Upper 2000 Meters        
 of Ocean (10**8 Jm-2)
----------------------------------
      year  Heat Storage
----------------------------------
  2005.500     -0.93689
  2005.585     -0.90658
  2005.670     -0.85248
  2005.750     -0.84966
  2005.835     -0.86104
  2005.920     -0.86630
  2006.000     -0.87102
  2006.085     -0.85521
  2006.170     -0.81254
  2006.250     -0.82635
  2006.335     -0.82265
  2006.420     -0.88881
  2006.500     -0.91432
  2006.585     -0.93107
  2006.670     -0.90208
  2006.750     -0.85472
  2006.835     -0.87737
  2006.920     -0.91121
  2007.000     -0.95507
  2007.085     -0.99700
  2007.170     -1.01415
  2007.250     -1.02928
  2007.335     -1.03478
  2007.420     -0.97132
  2007.500     -0.89539
  2007.585     -0.86633
  2007.670     -0.85680
  2007.750     -0.81867
  2007.835     -0.73712
  2007.920     -0.67102
  2008.000     -0.56514
  2008.085     -0.47958
  2008.170     -0.42519
  2008.250     -0.37585
  2008.335     -0.35674
  2008.420     -0.37253
  2008.500     -0.38157
  2008.585     -0.36090
  2008.670     -0.32208
  2008.750     -0.29034
  2008.835     -0.26747
  2008.920     -0.24060
  2009.000     -0.24445
  2009.085     -0.22970
  2009.170     -0.22938
  2009.250     -0.18861
  2009.335     -0.14351
  2009.420     -0.08147
  2009.500     -0.03232
  2009.585     -0.00819
  2009.670      0.00713
  2009.750     -0.00953
  2009.835     -0.01399
  2009.920      0.00487
  2010.000      0.00496
  2010.085      0.00654
  2010.170      0.03485
  2010.250      0.04187
  2010.335      0.05490
  2010.420      0.07418
  2010.500      0.07050
  2010.585      0.07283
  2010.670      0.05380
  2010.750      0.07928
  2010.835      0.09768
  2010.920      0.12972
  2011.000      0.14857
  2011.085      0.14900
  2011.170      0.18156
  2011.250      0.23316
  2011.335      0.25955
  2011.420      0.28093
  2011.500      0.31997
  2011.585      0.37603
  2011.670      0.44637
  2011.750      0.48821
  2011.835      0.53492
  2011.920      0.55095
  2012.000      0.56755
  2012.085      0.55932
  2012.170      0.51480
  2012.250      0.49434
  2012.335      0.50621
  2012.420      0.53119
  2012.500      0.57207
  2012.585      0.61888
  2012.670      0.68422
  2012.750      0.74797
  2012.835      0.78642
  2012.920      0.81451
  2013.000      0.87878
  2013.085      0.96684
  2013.170      1.05135
  2013.250      1.10187
  2013.335      1.16435
  2013.420      1.23000
  2013.500      1.28982
  2013.585      1.31627
  2013.670      1.33477
  2013.750      1.35773
  2013.835      1.37433
  2013.920      1.41639
  2014.000      1.44714
  2014.085      1.47563
  2014.170      1.51298
  2014.250      1.53484
  2014.335      1.55422
  2014.420      1.56435
  2014.500      1.57492
  2014.585      1.59019
  2014.670      1.63318
  2014.750      1.71548
  2014.835      1.80588
  2014.920      1.88420
  2015.000      1.96935
  2015.085      2.04856
  2015.170      2.10010
  2015.250      2.17091
  2015.335      2.22479
  2015.420      2.28403
  2015.500      2.32510
----------------------------------
