 Mauna Loa CO2 annual growth (ppm/year)
 --------------------------------------
   Year    12-month mean
 --------------------------------------
  1959.500    0.7280
  1959.583    0.7355
  1959.667    0.7233
  1959.750    0.7125
  1959.833    0.7983
  1959.917    0.8775
  1960.000    0.9100
  1960.083    0.9900
  1960.167    1.0933
  1960.250    1.0667
  1960.333    1.0642
  1960.417    0.9583
  1960.500    0.9333
  1960.583    0.9075
  1960.667    0.9192
  1960.750    0.9267
  1960.833    0.8567
  1960.917    0.7575
  1961.000    0.6525
  1961.083    0.5483
  1961.167    0.5292
  1961.250    0.5558
  1961.333    0.6375
  1961.417    0.7125
  1961.500    0.7300
  1961.583    0.7725
  1961.667    0.7833
  1961.750    0.7983
  1961.833    0.8558
  1961.917    0.8458
  1962.000    0.8958
  1962.083    0.9475
  1962.167    0.9250
  1962.250    0.9933
  1962.333    0.8675
  1962.417    0.8250
  1962.500    0.8133
  1962.583    0.7958
  1962.667    0.7675
  1962.750    0.6875
  1962.833    0.6550
  1962.917    0.7225
  1963.000    0.7342
  1963.083    0.6633
  1963.167    0.6433
  1963.250    0.5175
  1963.333    0.5617
  1963.417    0.5483
  1963.500    0.5433
  1963.583    0.5458
  1963.667    0.5850
  1963.750    0.6425
  1963.833    0.6108
  1963.917    0.5075
  1964.000    0.4658
  1964.083    0.5108
  1964.167    0.5575
  1964.250    0.6025
  1964.333    0.6217
  1964.417    0.6417
  1964.500    0.6233
  1964.583    0.5433
  1964.667    0.4917
  1964.750    0.4325
  1964.833    0.4308
  1964.917    0.4233
  1965.000    0.3867
  1965.083    0.4075
  1965.167    0.3392
  1965.250    0.3908
  1965.333    0.3667
  1965.417    0.4008
  1965.500    0.4267
  1965.583    0.5358
  1965.667    0.6008
  1965.750    0.7125
  1965.833    0.8275
  1965.917    0.9892
  1966.000    1.1475
  1966.083    1.1517
  1966.167    1.2725
  1966.250    1.2492
  1966.333    1.2733
  1966.417    1.2600
  1966.500    1.3392
  1966.583    1.3617
  1966.667    1.3417
  1966.750    1.2708
  1966.833    1.1717
  1966.917    1.1000
  1967.000    0.9717
  1967.083    0.9017
  1967.167    0.8175
  1967.250    0.8042
  1967.333    0.8383
  1967.417    0.8392
  1967.500    0.7742
  1967.583    0.6950
  1967.667    0.6733
  1967.750    0.6900
  1967.833    0.6942
  1967.917    0.6592
  1968.000    0.7367
  1968.083    0.8558
  1968.167    0.9025
  1968.250    0.9383
  1968.333    0.9158
  1968.417    0.8875
  1968.500    0.8875
  1968.583    0.9650
  1968.667    1.0167
  1968.750    1.0917
  1968.833    1.1783
  1968.917    1.2783
  1969.000    1.2892
  1969.083    1.3017
  1969.167    1.3458
  1969.250    1.4183
  1969.333    1.4675
  1969.417    1.5467
  1969.500    1.5792
  1969.583    1.5458
  1969.667    1.5708
  1969.750    1.5275
  1969.833    1.5133
  1969.917    1.4267
  1970.000    1.3850
  1970.083    1.2792
  1970.167    1.2275
  1970.250    1.1233
  1970.333    1.1108
  1970.417    1.0767
  1970.500    1.0558
  1970.583    1.0650
  1970.667    0.9917
  1970.750    0.9150
  1970.833    0.7633
  1970.917    0.7733
  1971.000    0.7742
  1971.083    0.8175
  1971.167    0.7967
  1971.250    0.7583
  1971.333    0.6775
  1971.417    0.6517
  1971.500    0.6400
  1971.583    0.5950
  1971.667    0.6167
  1971.750    0.6383
  1971.833    0.8292
  1971.917    0.8542
  1972.000    0.8217
  1972.083    0.7983
  1972.167    0.8058
  1972.250    0.9150
  1972.333    1.0050
  1972.417    1.0783
  1972.500    1.1333
  1972.583    1.2308
  1972.667    1.3125
  1972.750    1.4775
  1972.833    1.4642
  1972.917    1.5692
  1973.000    1.7742
  1973.083    1.9500
  1973.167    2.1275
  1973.250    2.2117
  1973.333    2.2642
  1973.417    2.2608
  1973.500    2.2233
  1973.583    2.1433
  1973.667    2.0783
  1973.750    1.9642
