Global CO2 annual growth (ppm/year)
-----------------------------------
    Year   12-month mean
-----------------------------------
  1981.500   1.19583
  1981.583   1.15750
  1981.667   1.13250
  1981.750   1.05333
  1981.833   0.98250
  1981.917   0.98083
  1982.000   1.00500
  1982.083   0.98833
  1982.167   0.92500
  1982.250   0.86750
  1982.333   0.81083
  1982.417   0.77500
  1982.500   0.77167
  1982.583   0.75667
  1982.667   0.72250
  1982.750   0.71750
  1982.833   0.72833
  1982.917   0.76917
  1983.000   0.86167
  1983.083   1.01500
  1983.167   1.22000
  1983.250   1.40000
  1983.333   1.53083
  1983.417   1.62000
  1983.500   1.67500
  1983.583   1.75417
  1983.667   1.86250
  1983.750   1.95667
  1983.833   2.01417
  1983.917   2.01667
  1984.000   1.93667
  1984.083   1.82417
  1984.167   1.74500
  1984.250   1.67833
  1984.333   1.60333
  1984.417   1.56000
  1984.500   1.54500
  1984.583   1.47000
  1984.667   1.37750
  1984.750   1.35750
  1984.833   1.36333
  1984.917   1.35833
  1985.000   1.41250
  1985.083   1.47083
  1985.167   1.44250
  1985.250   1.41583
  1985.333   1.45000
  1985.417   1.47167
  1985.500   1.47167
  1985.583   1.52917
  1985.667   1.57417
  1985.750   1.52167
  1985.833   1.48333
  1985.917   1.49250
  1986.000   1.47417
  1986.083   1.44083
  1986.167   1.45917
  1986.250   1.47583
  1986.333   1.45417
  1986.417   1.44750
  1986.500   1.42167
  1986.583   1.35250
  1986.667   1.32917
  1986.750   1.37333
  1986.833   1.41250
  1986.917   1.44500
  1987.000   1.46500
  1987.083   1.48750
  1987.167   1.51250
  1987.250   1.54750
  1987.333   1.59500
  1987.417   1.63167
  1987.500   1.73667
  1987.583   1.90667
  1987.667   2.05000
  1987.750   2.13500
  1987.833   2.18583
  1987.917   2.21250
  1988.000   2.26417
  1988.083   2.33250
  1988.167   2.39250
  1988.250   2.45500
  1988.333   2.50333
  1988.417   2.54167
  1988.500   2.52917
  1988.583   2.46333
  1988.667   2.38833
  1988.750   2.35667
  1988.833   2.33917
  1988.917   2.30083
  1989.000   2.23333
  1989.083   2.13917
  1989.167   2.02583
  1989.250   1.91083
  1989.333   1.81250
  1989.417   1.72333
  1989.500   1.64250
  1989.583   1.57583
  1989.667   1.51167
  1989.750   1.41333
  1989.833   1.31500
  1989.917   1.25500
  1990.000   1.20583
  1990.083   1.18417
  1990.167   1.20000
  1990.250   1.19500
  1990.333   1.18917
  1990.417   1.18917
  1990.500   1.18000
  1990.583   1.17250
  1990.667   1.17333
  1990.750   1.20667
  1990.833   1.26000
  1990.917   1.31167
  1991.000   1.38583
  1991.083   1.44917
  1991.167   1.46167
  1991.250   1.45583
  1991.333   1.41500
  1991.417   1.36167
  1991.500   1.32083
  1991.583   1.27833
  1991.667   1.23000
  1991.750   1.16083
  1991.833   1.07833
  1991.917   0.99667
  1992.000   0.90167
  1992.083   0.80500
  1992.167   0.73500
  1992.250   0.69667
  1992.333   0.69667
  1992.417   0.70417
  1992.500   0.70583
  1992.583   0.69750
