 Correlation between CO2 Change and dTs
 Month
 Correlation (%)
 year cor
   -60. -23.33985
   -59. -24.15177
   -58. -24.44279
   -57. -24.16003
   -56. -23.29995
   -55. -21.87656
   -54. -19.86134
   -53. -17.31749
   -52. -14.33251
   -51. -11.01036
   -50.  -7.41860
   -49.  -3.80853
   -48.  -0.20482
   -47.   3.16145
   -46.   6.25459
   -45.   8.96488
   -44.  11.24705
   -43.  13.02222
   -42.  14.32295
   -41.  15.24549
   -40.  15.84893
   -39.  16.24769
   -38.  16.38894
   -37.  16.38054
   -36.  16.20788
   -35.  16.08045
   -34.  15.94803
   -33.  15.87008
   -32.  15.82818
   -31.  15.91207
   -30.  16.09182
   -29.  16.23004
   -28.  16.14699
   -27.  15.70412
   -26.  14.93732
   -25.  13.95570
   -24.  12.75890
   -23.  11.23008
   -22.   9.44991
   -21.   7.40438
   -20.   5.12231
   -19.   2.57710
   -18.  -0.22888
   -17.  -3.20059
   -16.  -6.02349
   -15.  -8.51175
   -14. -10.50445
   -13. -12.16835
   -12. -13.35190
   -11. -13.97265
   -10. -13.94438
    -9. -13.20181
    -8. -11.67897
    -7.  -9.30889
    -6.  -6.01786
    -5.  -1.85118
    -4.   2.93678
    -3.   8.17298
    -2.  13.63751
    -1.  19.38226
     0.  25.18240
     1.  31.20170
     2.  36.81508
     3.  41.80001
     4.  46.04714
     5.  49.30043
     6.  51.40584
     7.  52.34321
     8.  52.21445
     9.  51.04687
    10.  48.85953
    11.  45.64503
    12.  41.68305
    13.  37.12704
    14.  32.06102
    15.  26.63772
    16.  20.98060
    17.  15.36808
    18.  10.08862
    19.   5.06033
    20.   0.39763
    21.  -3.82027
    22.  -7.37722
    23. -10.19366
    24. -12.50704
    25. -14.33844
    26. -15.55046
    27. -16.08421
    28. -15.97884
    29. -15.35192
    30. -14.32207
    31. -12.71556
    32. -10.78431
    33.  -8.60261
    34.  -6.37048
    35.  -4.22114
    36.  -2.00560
    37.   0.27722
    38.   2.45846
    39.   4.47412
    40.   6.15588
    41.   7.55728
    42.   8.53064
    43.   8.97638
    44.   8.97577
    45.   8.67202
    46.   8.17885
    47.   7.55477
    48.   6.73481
    49.   5.73915
    50.   4.63518
    51.   3.41145
    52.   2.22313
    53.   0.99295
    54.  -0.06500
    55.  -0.98504
    56.  -1.69228
    57.  -2.34007
    58.  -2.98835
    59.  -3.62280
    60.  -4.22893
