Global mean CH4 concentration (ppb)
-----------------------------------
    Year   12-month mean
-----------------------------------
  1984.000  1638.092
  1984.083  1639.125
  1984.167  1640.350
  1984.250  1641.450
  1984.333  1642.283
  1984.417  1643.175
  1984.500  1644.542
  1984.583  1646.025
  1984.667  1647.242
  1984.750  1648.458
  1984.833  1649.683
  1984.917  1650.775
  1985.000  1651.658
  1985.083  1652.358
  1985.167  1653.225
  1985.250  1654.267
  1985.333  1655.350
  1985.417  1656.467
  1985.500  1657.292
  1985.583  1658.075
  1985.667  1659.250
  1985.750  1660.500
  1985.833  1661.567
  1985.917  1662.592
  1986.000  1663.808
  1986.083  1665.158
  1986.167  1666.192
  1986.250  1666.950
  1986.333  1667.817
  1986.417  1668.792
  1986.500  1669.792
  1986.583  1670.725
  1986.667  1671.550
  1986.750  1672.333
  1986.833  1673.167
  1986.917  1674.267
  1987.000  1675.550
  1987.083  1676.692
  1987.167  1677.767
  1987.250  1678.867
  1987.333  1679.933
  1987.417  1680.975
  1987.500  1682.008
  1987.583  1683.117
  1987.667  1684.292
  1987.750  1685.317
  1987.833  1686.117
  1987.917  1686.783
  1988.000  1687.425
  1988.083  1688.267
  1988.167  1689.333
  1988.250  1690.317
  1988.333  1691.208
  1988.417  1692.192
  1988.500  1693.183
  1988.583  1693.967
  1988.667  1694.708
  1988.750  1695.592
  1988.833  1696.658
  1988.917  1697.808
  1989.000  1698.883
  1989.083  1699.900
  1989.167  1700.917
  1989.250  1701.800
  1989.333  1702.525
  1989.417  1703.292
  1989.500  1704.100
  1989.583  1705.033
  1989.667  1706.083
  1989.750  1707.075
  1989.833  1707.850
  1989.917  1708.467
  1990.000  1709.108
  1990.083  1709.758
  1990.167  1710.400
  1990.250  1711.233
  1990.333  1712.183
  1990.417  1713.100
  1990.500  1714.025
  1990.583  1714.850
  1990.667  1715.525
  1990.750  1716.192
  1990.833  1717.000
  1990.917  1717.975
  1991.000  1718.900
  1991.083  1719.708
  1991.167  1720.458
  1991.250  1721.167
  1991.333  1722.058
  1991.417  1723.242
  1991.500  1724.658
  1991.583  1726.200
  1991.667  1727.608
  1991.750  1728.850
  1991.833  1730.025
  1991.917  1731.083
  1992.000  1732.108
  1992.083  1733.167
  1992.167  1734.108
  1992.250  1734.800
  1992.333  1735.217
  1992.417  1735.383
  1992.500  1735.283
  1992.583  1734.958
  1992.667  1734.683
  1992.750  1734.608
  1992.833  1734.642
  1992.917  1734.608
  1993.000  1734.517
  1993.083  1734.483
  1993.167  1734.583
  1993.250  1734.925
  1993.333  1735.383
  1993.417  1735.858
  1993.500  1736.342
  1993.583  1736.808
  1993.667  1737.342
  1993.750  1737.875
  1993.833  1738.317
  1993.917  1738.800
  1994.000  1739.325
  1994.083  1739.683
  1994.167  1739.908
  1994.250  1740.250
  1994.333  1740.792
  1994.417  1741.300
  1994.500  1741.850
  1994.583  1742.675
  1994.667  1743.450
  1994.750  1744.067
  1994.833  1744.675
  1994.917  1745.258
  1995.000  1745.742
  1995.083  1746.350
  1995.167  1747.142
  1995.250  1747.758
  1995.333  1748.142
  1995.417  1748.492
  1995.500  1748.717
  1995.583  1748.808
  1995.667  1749.075
  1995.750  1749.342
  1995.833  1749.342
  1995.917  1749.333
  1996.000  1749.558
  1996.083  1749.725
  1996.167  1749.750
  1996.250  1749.933
  1996.333  1750.342
  1996.417  1750.717
  1996.500  1750.967
  1996.583  1751.058
  1996.667  1751.125
  1996.750  1751.367
  1996.833  1751.833
  1996.917  1752.317
  1997.000  1752.683
  1997.083  1753.042
  1997.167  1753.417
  1997.250  1753.692
  1997.333  1753.800
  1997.417  1753.958
  1997.500  1754.358
  1997.583  1755.008
  1997.667  1755.633
  1997.750  1756.242
  1997.833  1757.033
  1997.917  1757.942
  1998.000  1758.825
  1998.083  1759.675
  1998.167  1760.658
  1998.250  1761.908
  1998.333  1763.208
  1998.417  1764.350
  1998.500  1765.392
  1998.583  1766.450
  1998.667  1767.475
  1998.750  1768.433
  1998.833  1769.283
  1998.917  1769.958
  1999.000  1770.508
  1999.083  1771.067
  1999.167  1771.475
  1999.250  1771.533
  1999.333  1771.558
  1999.417  1771.758
  1999.500  1771.975
  1999.583  1772.142
  1999.667  1772.308
  1999.750  1772.475
  1999.833  1772.667
  1999.917  1772.867
  2000.000  1772.967
  2000.083  1773.000
  2000.167  1773.083
  2000.250  1773.208
  2000.333  1773.317
  2000.417  1773.308
  2000.500  1773.200
  2000.583  1772.950
  2000.667  1772.675
  2000.750  1772.442
  2000.833  1772.192
  2000.917  1771.875
  2001.000  1771.658
  2001.083  1771.583
  2001.167  1771.458
  2001.250  1771.292
  2001.333  1771.117
  2001.417  1771.008
  2001.500  1771.025
  2001.583  1771.108
  2001.667  1771.142
  2001.750  1771.142
  2001.833  1771.042
  2001.917  1770.983
  2002.000  1771.067
  2002.083  1771.208
  2002.167  1771.458
  2002.250  1771.767
  2002.333  1772.017
  2002.417  1772.258
  2002.500  1772.558
  2002.583  1772.875
  2002.667  1773.058
  2002.750  1773.108
  2002.833  1773.267
  2002.917  1773.575
  2003.000  1773.950
  2003.083  1774.475
  2003.167  1775.083
  2003.250  1775.642
  2003.333  1776.125
  2003.417  1776.558
  2003.500  1776.892
  2003.583  1777.158
  2003.667  1777.550
  2003.750  1778.108
  2003.833  1778.600
  2003.917  1778.900
  2004.000  1779.000
  2004.083  1778.783
  2004.167  1778.408
  2004.250  1778.050
  2004.333  1777.708
  2004.417  1777.333
  2004.500  1776.908
  2004.583  1776.483
  2004.667  1776.133
  2004.750  1775.708
  2004.833  1775.225
  2004.917  1774.775
  2005.000  1774.458
  2005.083  1774.333
  2005.167  1774.192
  2005.250  1773.933
  2005.333  1773.767
  2005.417  1773.833
  2005.500  1773.983
  2005.583  1774.258
  2005.667  1774.558
  2005.750  1774.692
  2005.833  1774.783
  2005.917  1775.017
  2006.000  1775.100
  2006.083  1774.917
  2006.167  1774.817
  2006.250  1774.917
  2006.333  1774.917
  2006.417  1774.717
  2006.500  1774.667
  2006.583  1774.675
  2006.667  1774.625
  2006.750  1774.842
  2006.833  1775.283
  2006.917  1775.683
  2007.000  1776.158
  2007.083  1776.783
  2007.167  1777.517
  2007.250  1778.392
  2007.333  1779.325
  2007.417  1780.233
  2007.500  1781.000
  2007.583  1781.650
  2007.667  1782.250
  2007.750  1782.742
  2007.833  1783.200
  2007.917  1783.683
  2008.000  1784.133
  2008.083  1784.600
  2008.167  1784.983
  2008.250  1785.167
  2008.333  1785.550
  2008.417  1786.225
  2008.500  1786.883
  2008.583  1787.517
  2008.667  1788.333
  2008.750  1789.175
  2008.833  1789.883
  2008.917  1790.433
  2009.000  1790.933
  2009.083  1791.533
  2009.167  1792.183
  2009.250  1792.825
  2009.333  1793.200
  2009.417  1793.217
  2009.500  1793.183
  2009.583  1793.425
  2009.667  1793.725
  2009.750  1793.975
  2009.833  1794.292
  2009.917  1794.733
  2010.000  1795.200
  2010.083  1795.583
  2010.167  1796.017
  2010.250  1796.567
  2010.333  1797.233
  2010.417  1798.000
  2010.500  1798.658
  2010.583  1798.958
  2010.667  1799.025
  2010.750  1799.100
  2010.833  1799.342
  2010.917  1799.808
  2011.000  1800.358
  2011.083  1800.917
  2011.167  1801.400
  2011.250  1801.692
  2011.333  1801.983
  2011.417  1802.433
  2011.500  1802.967
  2011.583  1803.592
  2011.667  1804.383
  2011.750  1805.258
  2011.833  1805.817
  2011.917  1805.950
  2012.000  1806.100
  2012.083  1806.367
  2012.167  1806.675
  2012.250  1807.108
  2012.333  1807.558
  2012.417  1807.875
  2012.500  1808.217
  2012.583  1808.642
  2012.667  1809.008
  2012.750  1809.258
  2012.833  1809.617
  2012.917  1810.225
  2013.000  1810.883
  2013.083  1811.458
  2013.167  1811.900
  2013.250  1812.225
  2013.333  1812.492
  2013.417  1812.858
  2013.500  1813.283
  2013.583  1813.558
  2013.667  1813.775
  2013.750  1814.175
  2013.833  1814.833
  2013.917  1815.658
  2014.000  1816.467
  2014.083  1817.258
  2014.167  1818.192
  2014.250  1819.250
  2014.333  1820.317
  2014.417  1821.350
  2014.500  1822.492
  2014.583  1823.817
  2014.667  1825.158
  2014.750  1826.383
  2014.833  1827.400
  2014.917  1828.217
  2015.000  1828.958
  2015.083  1829.700
  2015.167  1830.467
  2015.250  1831.242
  2015.333  1832.050
  2015.417  1832.983
  2015.500  1833.950
  2015.583  1834.742
  2015.667  1835.467
  2015.750  1836.275
  2015.833  1837.142
  2015.917  1838.008
  2016.000  1838.892
  2016.083  1839.708
  2016.167  1840.367
  2016.250  1841.042
  2016.333  1841.800
  2016.417  1842.425
  2016.500  1842.983
  2016.583  1843.592
  2016.667  1844.167
-----------------------------------
