GHG effective forcing growth rate (W/m2/yr)
Alternative Scenario of Hansen et al. (2000)
--------------------------------------------
year    dFe
------------
2001  0.0316
2002  0.0312
2003  0.0305
2004  0.0302
2005  0.0297
2006  0.0290
2007  0.0289
2008  0.0284
2009  0.0278
2010  0.0274
2011  0.0271
2012  0.0264
2013  0.0261
2014  0.0257
2015  0.0251
2016  0.0248
2017  0.0245
2018  0.0240
2019  0.0234
2020  0.0234
2021  0.0227
2022  0.0222
2023  0.0218
2024  0.0217
2025  0.0209
2026  0.0208
2027  0.0201
2028  0.0199
2029  0.0194
2030  0.0190
2031  0.0184
2032  0.0184
2033  0.0178
2034  0.0173
2035  0.0170
2036  0.0167
2037  0.0161
2038  0.0157
2039  0.0154
2040  0.0148
2041  0.0145
2042  0.0142
2043  0.0136
2044  0.0131
2045  0.0130
2046  0.0124
2047  0.0119
2048  0.0115
2049  0.0112
2050  0.0106
------------
