Fossil fuel emissions                                 
Actual data (PgC/yr)
---------------------
  Year  actual
---------------------
  1850   0.054
  1851   0.054
  1852   0.057
  1853   0.059
  1854   0.069
  1855   0.071
  1856   0.076
  1857   0.077
  1858   0.078
  1859   0.083
  1860   0.091
  1861   0.095
  1862   0.096
  1863   0.103
  1864   0.112
  1865   0.119
  1866   0.122
  1867   0.130
  1868   0.134
  1869   0.142
  1870   0.147
  1871   0.157
  1872   0.174
  1873   0.184
  1874   0.174
  1875   0.188
  1876   0.191
  1877   0.194
  1878   0.196
  1879   0.210
  1880   0.236
  1881   0.243
  1882   0.256
  1883   0.272
  1884   0.275
  1885   0.278
  1886   0.282
  1887   0.295
  1888   0.327
  1889   0.327
  1890   0.356
  1891   0.371
  1892   0.374
  1893   0.370
  1894   0.383
  1895   0.406
  1896   0.419
  1897   0.440
  1898   0.464
  1899   0.508
  1900   0.534
  1901   0.553
  1902   0.566
  1903   0.617
  1904   0.624
  1905   0.664
  1906   0.708
  1907   0.783
  1908   0.749
  1909   0.785
  1910   0.819
  1911   0.835
  1912   0.879
  1913   0.944
  1914   0.850
  1915   0.838
  1916   0.900
  1917   0.956
  1918   0.936
  1919   0.806
  1920   0.932
  1921   0.803
  1922   0.845
  1923   0.970
  1924   0.962
  1925   0.975
  1926   0.984
  1927   1.062
  1928   1.056
  1929   1.135
  1930   1.042
  1931   0.931
  1932   0.840
  1933   0.887
  1934   0.965
  1935   1.017
  1936   1.119
  1937   1.198
  1938   1.131
  1939   1.178
  1940   1.288
  1941   1.321
  1942   1.330
  1943   1.381
  1944   1.376
  1945   1.154
  1946   1.228
  1947   1.381
  1948   1.455
  1949   1.403
  1950   1.590
  1951   1.723
  1952   1.747
  1953   1.789
  1954   1.811
  1955   1.983
  1956   2.113
  1957   2.201
  1958   2.259
  1959   2.377
  1960   2.486
  1961   2.493
  1962   2.594
  1963   2.734
  1964   2.888
  1965   3.016
  1966   3.165
  1967   3.263
  1968   3.423
  1969   3.626
  1970   3.888
  1971   4.036
  1972   4.193
  1973   4.410
  1974   4.421
  1975   4.409
  1976   4.654
  1977   4.804
  1978   4.852
  1979   5.140
  1980   5.094
  1981   4.952
  1982   4.910
  1983   4.892
  1984   5.080
  1985   5.237
  1986   5.400
  1987   5.537
  1988   5.734
  1989   5.869
  1990   5.898
  1991   5.965
  1992   5.907
  1993   5.892
  1994   5.983
  1995   6.109
  1996   6.248
  1997   6.339
  1998   6.326
  1999   6.307
  2000   6.455
  2001   6.602
  2002   6.644
  2003   7.043
  2004   7.383
  2005   7.644
  2006   7.889
  2007   8.041
  2008   8.281
  2009   8.162
  2010   8.624
  2011   8.947
  2012   9.087
  2013   9.153
  2014   9.218
  2015   9.235
---------------------
