Fossil fuel CO2 emissions (PgC/yr)            
Simple specified rates of emissions
------------------------------------
Year     +2%   const     -3%     -6%
2016   9.420   9.235   9.235   9.235
2017   9.608   9.235   9.235   9.235
2018   9.800   9.235   9.235   9.235
2019   9.996   9.235   9.235   9.235
2020  10.196   9.235   9.235   9.235
2021  10.400   9.235   8.958   8.681
2022  10.608   9.235   8.689   8.160
2023  10.820   9.235   8.429   7.670
2024  11.037   9.235   8.176   7.210
2025  11.257   9.235   7.930   6.778
2026  11.483   9.235   7.692   6.371
2027  11.712   9.235   7.462   5.989
2028  11.946   9.235   7.238   5.629
2029  12.185   9.235   7.021   5.292
2030  12.429   9.235   6.810   4.974
2031  12.678   9.235   6.606   4.676
2032  12.931   9.235   6.408   4.395
2033  13.190   9.235   6.215   4.131
2034  13.454   9.235   6.029   3.884
2035  13.723   9.235   5.848   3.651
2036  13.997   9.235   5.673   3.431
2037  14.277   9.235   5.502   3.226
2038  14.563   9.235   5.337   3.032
2039  14.854   9.235   5.177   2.850
2040  15.151   9.235   5.022   2.679
2041  15.454   9.235   4.871   2.518
2042  15.763   9.235   4.725   2.367
2043  16.078   9.235   4.583   2.225
2044  16.400   9.235   4.446   2.092
2045  16.728   9.235   4.313   1.966
2046  17.062   9.235   4.183   1.848
2047  17.404   9.235   4.058   1.737
2048  17.752   9.235   3.936   1.633
2049  18.107   9.235   3.818   1.535
2050  18.469   9.235   3.703   1.443
2051  18.838   9.235   3.592   1.356
2052  19.215   9.235   3.484   1.275
2053  19.599   9.235   3.380   1.199
2054  19.991   9.235   3.279   1.127
2055  20.391   9.235   3.180   1.059
2056  20.799   9.235   3.085   0.995
2057  21.215   9.235   2.992   0.936
2058  21.639   9.235   2.902   0.880
2059  22.072   9.235   2.815   0.827
2060  22.514   9.235   2.731   0.777
2061  22.964   9.235   2.649   0.731
2062  23.423   9.235   2.570   0.687
2063  23.892   9.235   2.492   0.646
2064  24.369   9.235   2.418   0.607
2065  24.857   9.235   2.345   0.570
2066  25.354   9.235   2.275   0.536
2067  25.861   9.235   2.207   0.504
2068  26.378   9.235   2.140   0.474
2069  26.906   9.235   2.076   0.445
2070  27.444   9.235   2.014   0.419
2071  27.444   9.235   1.953   0.394
2072  27.444   9.235   1.895   0.370
2073  27.444   9.235   1.838   0.348
2074  27.444   9.235   1.783   0.327
2075  27.444   9.235   1.729   0.307
2076  27.444   9.235   1.677   0.289
2077  27.444   9.235   1.627   0.271
2078  27.444   9.235   1.578   0.255
2079  27.444   9.235   1.531   0.240
2080  27.444   9.235   1.485   0.225
2081  27.444   9.235   1.440   0.212
2082  27.444   9.235   1.397   0.199
2083  27.444   9.235   1.355   0.187
2084  27.444   9.235   1.315   0.176
2085  27.444   9.235   1.275   0.165
2086  27.444   9.235   1.237   0.156
2087  27.444   9.235   1.200   0.146
2088  27.444   9.235   1.164   0.137
2089  27.444   9.235   1.129   0.129
2090  27.444   9.235   1.095   0.121
2091  27.444   9.235   1.062   0.114
2092  27.444   9.235   1.030   0.107
2093  27.444   9.235   0.999   0.101
2094  27.444   9.235   0.969   0.095
2095  27.444   9.235   0.940   0.089
2096  27.444   9.235   0.912   0.084
2097  27.444   9.235   0.885   0.079
2098  27.444   9.235   0.858   0.074
2099  27.444   9.235   0.833   0.070
2100  27.444   9.235   0.808   0.065
------------------------------------
