Global mean surface temperature (C)
relative to 1951-1980 mean
-----------------------------------
 year    monthly_mean
-----------------------------------
1880.042   -0.2913
1880.125   -0.2004
1880.208   -0.1743
1880.292   -0.2680
1880.375   -0.1358
1880.458   -0.2789
1880.542   -0.2298
1880.625   -0.0676
1880.708   -0.1604
1880.792   -0.1548
1880.875   -0.1802
1880.958   -0.2090
1881.042   -0.1026
1881.125   -0.1332
1881.208    0.0128
1881.292   -0.0255
1881.375   -0.0338
1881.458   -0.2745
1881.542   -0.0568
1881.625   -0.0136
1881.708   -0.0799
1881.792   -0.1831
1881.875   -0.2529
1881.958   -0.1474
1882.042    0.1074
1882.125    0.1024
1882.208    0.0295
1882.292   -0.1917
1882.375   -0.1675
1882.458   -0.2404
1882.542   -0.0978
1882.625    0.0435
1882.708    0.0034
1882.792   -0.2147
1882.875   -0.1972
1882.958   -0.2449
1883.042   -0.3282
1883.125   -0.4096
1883.208   -0.1683
1883.292   -0.2334
1883.375   -0.2437
1883.458   -0.1084
1883.542   -0.0771
1883.625   -0.1179
1883.708   -0.1725
1883.792   -0.1044
1883.875   -0.1903
1883.958   -0.1737
1884.042   -0.1757
1884.125   -0.1047
1884.208   -0.3281
1884.292   -0.3479
1884.375   -0.3073
1884.458   -0.3698
1884.542   -0.3311
1884.625   -0.2457
1884.708   -0.2200
1884.792   -0.2095
1884.875   -0.2864
1884.958   -0.2806
1885.042   -0.6376
1885.125   -0.2832
1885.208   -0.2233
1885.292   -0.4276
1885.375   -0.4027
1885.458   -0.4905
1885.542   -0.2756
1885.625   -0.2613
1885.708   -0.1793
1885.792   -0.1785
1885.875   -0.2089
1885.958   -0.0465
1886.042   -0.4089
1886.125   -0.4415
1886.208   -0.3987
1886.292   -0.2808
1886.375   -0.2587
1886.458   -0.3766
1886.542   -0.1511
1886.625   -0.2992
1886.708   -0.1782
1886.792   -0.2392
1886.875   -0.2461
1886.958   -0.2408
1887.042   -0.6515
1887.125   -0.4705
1887.208   -0.3006
1887.292   -0.3611
1887.375   -0.3228
1887.458   -0.1928
1887.542   -0.1789
1887.625   -0.2602
1887.708   -0.1844
1887.792   -0.3091
1887.875   -0.2476
1887.958   -0.3707
1888.042   -0.4197
1888.125   -0.4115
1888.208   -0.4629
1888.292   -0.2734
1888.375   -0.2157
1888.458   -0.1986
1888.542   -0.0839
1888.625   -0.1016
1888.708   -0.0666
1888.792    0.0207
1888.875    0.0059
1888.958   -0.1189
1889.042   -0.1920
1889.125    0.1520
1889.208    0.0546
1889.292    0.0534
1889.375   -0.0201
1889.458   -0.1085
1889.542   -0.0427
1889.625   -0.1653
1889.708   -0.1791
1889.792   -0.2112
1889.875   -0.2925
1889.958   -0.2968
1890.042   -0.4666
1890.125   -0.4760
1890.208   -0.3994
1890.292   -0.3669
1890.375   -0.4686
1890.458   -0.2681
1890.542   -0.2855
1890.625   -0.3500
1890.708   -0.3500
1890.792   -0.2153
1890.875   -0.3601
1890.958   -0.2920
1891.042   -0.4508
1891.125   -0.4922
1891.208   -0.1381
1891.292   -0.2459
1891.375   -0.1631
1891.458   -0.2093
1891.542   -0.2099
1891.625   -0.2009
1891.708   -0.1277
1891.792   -0.2251
1891.875   -0.3634
1891.958   -0.0117
1892.042   -0.2497
1892.125   -0.1370
1892.208   -0.3516
1892.292   -0.3385
1892.375   -0.2396
1892.458   -0.1861
1892.542   -0.2674
1892.625   -0.1869
1892.708   -0.2395
1892.792   -0.1527
1892.875   -0.4878
1892.958   -0.2797
1893.042   -0.6729
1893.125   -0.5010
1893.208   -0.2319
1893.292   -0.3157
1893.375   -0.3367
1893.458   -0.2258
1893.542   -0.1292
1893.625   -0.2252
1893.708   -0.1712
1893.792   -0.1519
1893.875   -0.1574
1893.958   -0.3692
1894.042   -0.5438
1894.125   -0.3126
1894.208   -0.2043
1894.292   -0.4066
1894.375   -0.2898
1894.458   -0.4264
1894.542   -0.3110
1894.625   -0.2701
1894.708   -0.2149
1894.792   -0.1565
1894.875   -0.2391
1894.958   -0.2123
1895.042   -0.4289
1895.125   -0.4160
1895.208   -0.2821
1895.292   -0.2157
1895.375   -0.2199
1895.458   -0.2373
1895.542   -0.1578
1895.625   -0.1449
1895.708   -0.0070
1895.792   -0.0923
1895.875   -0.1459
1895.958   -0.1118
1896.042   -0.2245
1896.125   -0.1401
1896.208   -0.2883
1896.292   -0.3155
1896.375   -0.1889
1896.458   -0.1274
1896.542   -0.0531
1896.625   -0.0827
1896.708   -0.0361
1896.792    0.0498
1896.875   -0.1488
1896.958   -0.1139
1897.042   -0.2257
1897.125   -0.1826
1897.208   -0.1135
1897.292   -0.0039
1897.375    0.0026
1897.458   -0.1154
1897.542   -0.0417
1897.625   -0.0248
1897.708   -0.0370
1897.792   -0.0858
1897.875   -0.1631
1897.958   -0.2441
1898.042   -0.0593
1898.125   -0.3209
1898.208   -0.5535
1898.292   -0.3345
1898.375   -0.3553
1898.458   -0.2084
1898.542   -0.2238
1898.625   -0.2276
1898.708   -0.1854
1898.792   -0.3146
1898.875   -0.3565
1898.958   -0.2119
1899.042   -0.1758
1899.125   -0.4003
1899.208   -0.3357
1899.292   -0.1985
1899.375   -0.1976
1899.458   -0.2493
1899.542   -0.1334
1899.625   -0.0405
1899.708   -0.0109
