Land and sea surface temperature (C)                           
relative to 1951-1980 means
------------------------------------
    year     land    SST
------------------------------------
  1880.042 -1.2441 -0.0173
  1880.125 -0.8979  0.0041
  1880.208 -0.7029 -0.0061
  1880.292 -1.2181 -0.0048
  1880.375 -0.3037 -0.0597
  1880.458 -0.3141 -0.2244
  1880.542 -0.3295 -0.1976
  1880.625 -0.0140 -0.0657
  1880.708 -0.6308 -0.0536
  1880.792 -0.6781 -0.0248
  1880.875 -0.4738 -0.0742
  1880.958 -0.9384  0.0193
  1881.042 -0.4304  0.0558
  1881.125 -0.7228  0.0536
  1881.208 -0.0475  0.0724
  1881.292 -0.1198  0.0346
  1881.375 -0.1648  0.0262
  1881.458 -1.0811 -0.0346
  1881.542 -0.4809  0.0495
  1881.625  0.0359 -0.0152
  1881.708 -0.3935 -0.0098
  1881.792 -0.7026 -0.0549
  1881.875 -0.8664 -0.1047
  1881.958 -0.5893 -0.0291
  1882.042  0.3929  0.0846
  1882.125  0.3258  0.0581
  1882.208  0.0400  0.0343
  1882.292 -0.8621  0.0086
  1882.375 -0.5841 -0.0366
  1882.458 -0.8054 -0.0532
  1882.542 -0.6948  0.0691
  1882.625  0.0853  0.0553
  1882.708 -0.2234  0.0636
  1882.792 -1.0714 -0.0056
  1882.875 -0.8693 -0.0047
  1882.958 -1.3785  0.0947
  1883.042 -1.4602  0.0170
  1883.125 -1.6096 -0.0745
  1883.208 -0.3216 -0.1040
  1883.292 -0.6507 -0.1040
  1883.375 -0.5455 -0.1456
  1883.458 -0.2224 -0.0733
  1883.542 -0.1641 -0.0678
  1883.625 -0.3610 -0.0550
  1883.708 -0.5704 -0.0935
  1883.792 -0.4563 -0.0008
  1883.875 -1.0170  0.0248
  1883.958 -0.4443 -0.0694
  1884.042 -0.4193 -0.0381
  1884.125 -0.4535  0.0146
  1884.208 -1.3008 -0.0572
  1884.292 -1.3775 -0.0443
  1884.375 -1.1199 -0.0521
  1884.458 -1.1011 -0.1682
  1884.542 -0.7456 -0.2300
  1884.625 -0.4222 -0.2093
  1884.708 -0.7799 -0.1046
  1884.792 -0.6336 -0.0984
  1884.875 -0.7009 -0.1554
  1884.958 -0.4814 -0.1689
  1885.042 -1.9015 -0.2819
  1885.125 -0.8055 -0.1473
  1885.208 -0.4069 -0.1486
  1885.292 -1.1348 -0.2417
  1885.375 -0.9134 -0.2404
  1885.458 -0.8858 -0.3705
  1885.542 -0.5658 -0.2204
  1885.625 -0.5779 -0.1861
  1885.708 -0.3291 -0.1653
  1885.792 -0.4370 -0.1120
  1885.875 -0.5200 -0.1107
  1885.958  0.1773 -0.0659
  1886.042 -1.2371 -0.0992
  1886.125 -1.4339 -0.1497
  1886.208 -1.1064 -0.1876
  1886.292 -0.5871 -0.1720
  1886.375 -0.5770 -0.1487
  1886.458 -0.8848 -0.2145
  1886.542 -0.0826 -0.1808
  1886.625 -0.4732 -0.2650
  1886.708 -0.2889 -0.1717
  1886.792 -0.6771 -0.1174
  1886.875 -0.8568 -0.0754
  1886.958 -0.0741 -0.2300
  1887.042 -1.9247 -0.2630
  1887.125 -1.2350 -0.2313
  1887.208 -0.5363 -0.1879
  1887.292 -0.7980 -0.1921
  1887.375 -0.3420 -0.2857
  1887.458 -0.2896 -0.1440
  1887.542 -0.1236 -0.2130
  1887.625 -0.5052 -0.1966
  1887.708 -0.1711 -0.1755
  1887.792 -0.6865 -0.1823
  1887.875 -0.4996 -0.1493
  1887.958 -1.0094 -0.1535
  1888.042 -1.1422 -0.1750
  1888.125 -1.2234 -0.1541
  1888.208 -1.2314 -0.2324
  1888.292 -0.5217 -0.1846
  1888.375 -0.7356 -0.0433
  1888.458 -0.5725 -0.0668
  1888.542 -0.0463 -0.0859
  1888.625 -0.3079 -0.0406
  1888.708 -0.3210 -0.0014
  1888.792 -0.2136  0.1043
  1888.875 -0.2993  0.0820
  1888.958 -0.9003  0.1086
  1889.042 -1.0991  0.0896
  1889.125  0.3981  0.0925
  1889.208  0.1119  0.0667
  1889.292  0.2662 -0.0001
  1889.375 -0.1449  0.0080
  1889.458 -0.2848 -0.0466
  1889.542 -0.1271  0.0030
  1889.625 -0.3079 -0.0940
  1889.708 -0.3910 -0.1128
  1889.792 -0.5545 -0.1190
  1889.875 -1.0772 -0.0575
  1889.958 -0.8070 -0.1226
  1890.042 -1.0290 -0.2626
  1890.125 -0.9444 -0.3176
  1890.208 -0.7668 -0.2702
  1890.292 -0.5662 -0.2747
  1890.375 -1.0194 -0.2753
  1890.458 -0.4300 -0.1884
  1890.542 -0.1331 -0.3268
  1890.625 -0.4013 -0.3431
  1890.708 -0.3954 -0.3659
  1890.792  0.0918 -0.2982
  1890.875 -1.1124 -0.1160
  1890.958 -0.7471 -0.1522
  1891.042 -1.0665 -0.2136
  1891.125 -1.4652 -0.1860
  1891.208 -0.2732 -0.0895
  1891.292 -0.7412 -0.0541
  1891.375 -0.4795 -0.0555
  1891.458 -0.4791 -0.1080
  1891.542 -0.4315 -0.1304
  1891.625 -0.2159 -0.1735
  1891.708 -0.1690 -0.0926
  1891.792 -0.5689 -0.1159
  1891.875 -1.1542 -0.1337
  1891.958  0.0981 -0.0059
