 Nino 3.4 temperature (C)
 relative to 1951-1980 mean
 --------------------------
    year      Nino3.4
 --------------------------
  1950.042     -1.54
  1950.125     -1.38
  1950.208     -1.00
  1950.292     -1.10
  1950.375     -1.39
  1950.458     -0.86
  1950.542     -0.63
  1950.625     -0.69
  1950.708     -0.74
  1950.792     -0.60
  1950.875     -0.77
  1950.958     -1.03
  1951.042     -1.05
  1951.125     -0.86
  1951.208     -0.06
  1951.292      0.14
  1951.375      0.35
  1951.458      0.06
  1951.542      0.55
  1951.625      0.48
  1951.708      0.81
  1951.792      0.66
  1951.875      0.64
  1951.958      0.44
  1952.042      0.31
  1952.125      0.24
  1952.208      0.28
  1952.292      0.53
  1952.375      0.52
  1952.458      0.03
  1952.542     -0.10
  1952.625     -0.11
  1952.708      0.06
  1952.792      0.10
  1952.875     -0.09
  1952.958      0.11
  1953.042      0.50
  1953.125      0.62
  1953.208      0.56
  1953.292      0.73
  1953.375      0.70
  1953.458      0.73
  1953.542      0.58
  1953.625      0.54
  1953.708      0.65
  1953.792      0.69
  1953.875      0.52
  1953.958      0.63
  1954.042      0.54
  1954.125      0.49
  1954.208     -0.04
  1954.292     -0.59
  1954.375     -0.52
  1954.458     -0.41
  1954.542     -0.59
  1954.625     -0.85
  1954.708     -0.95
  1954.792     -0.77
  1954.875     -0.54
  1954.958     -0.75
  1955.042     -0.57
  1955.125     -0.71
  1955.208     -0.67
  1955.292     -0.78
  1955.375     -0.67
  1955.458     -0.62
  1955.542     -0.59
  1955.625     -0.71
  1955.708     -0.84
  1955.792     -1.77
  1955.875     -1.97
  1955.958     -1.65
  1956.042     -0.76
  1956.125     -0.51
  1956.208     -0.46
  1956.292     -0.66
  1956.375     -0.29
  1956.458     -0.37
  1956.542     -0.52
  1956.625     -0.66
  1956.708     -0.48
  1956.792     -0.58
  1956.875     -0.68
  1956.958     -0.54
  1957.042     -0.36
  1957.125     -0.10
  1957.208      0.35
  1957.292      0.66
  1957.375      0.78
  1957.458      0.83
  1957.542      1.11
  1957.625      1.12
  1957.708      0.96
  1957.792      0.93
  1957.875      1.25
  1957.958      1.42
  1958.042      1.78
  1958.125      1.62
  1958.208      1.13
  1958.292      0.78
  1958.375      0.69
  1958.458      0.71
  1958.542      0.34
  1958.625      0.26
  1958.708      0.17
  1958.792      0.33
  1958.875      0.56
  1958.958      0.40
  1959.042      0.60
  1959.125      0.59
  1959.208      0.36
  1959.292      0.37
  1959.375      0.10
  1959.458     -0.10
  1959.542     -0.47
  1959.625     -0.32
  1959.708     -0.37
  1959.792     -0.15
  1959.875     -0.27
  1959.958     -0.15
  1960.042     -0.13
  1960.125     -0.23
  1960.208     -0.13
  1960.292      0.13
  1960.375      0.02
  1960.458     -0.24
  1960.542     -0.17
  1960.625      0.19
  1960.708      0.01
  1960.792     -0.15
  1960.875     -0.05
  1960.958     -0.18
  1961.042     -0.10
  1961.125     -0.12
  1961.208     -0.18
  1961.292     -0.13
  1961.375      0.08
  1961.458      0.27
  1961.542      0.05
  1961.625     -0.30
  1961.708     -0.51
  1961.792     -0.59
  1961.875     -0.34
  1961.958     -0.31
  1962.042     -0.30
  1962.125     -0.36
  1962.208     -0.27
  1962.292     -0.27
  1962.375     -0.44
  1962.458     -0.26
  1962.542     -0.16
  1962.625     -0.19
  1962.708     -0.46
  1962.792     -0.35
  1962.875     -0.62
  1962.958     -0.63
  1963.042     -0.51
  1963.125     -0.32
  1963.208      0.07
  1963.292      0.27
  1963.375     -0.05
  1963.458      0.17
  1963.542      0.76
  1963.625      0.89
  1963.708      0.97
  1963.792      1.00
  1963.875      0.94
  1963.958      1.11
  1964.042      0.88
  1964.125      0.58
  1964.208     -0.03
  1964.292     -0.43
  1964.375     -0.63
  1964.458     -0.78
  1964.542     -0.74
  1964.625     -0.86
  1964.708     -0.96
  1964.792     -0.92
  1964.875     -1.05
