Global surface temperature (C)
relative to 1951-1980 means
Different versions of ERSST 
-------------------------------------
    year       v3b      v4     v4-v3b
-------------------------------------
  1880.500  -0.2275  -0.1983   0.0292
  1880.583  -0.2100  -0.1815   0.0285
  1880.667  -0.2020  -0.1757   0.0263
  1880.750  -0.1849  -0.1597   0.0252
  1880.833  -0.1625  -0.1394   0.0231
  1880.917  -0.1514  -0.1312   0.0202
  1881.000  -0.1539  -0.1310   0.0229
  1881.083  -0.1466  -0.1165   0.0301
  1881.167  -0.1417  -0.1120   0.0297
  1881.250  -0.1381  -0.1053   0.0328
  1881.333  -0.1409  -0.1080   0.0329
  1881.417  -0.1487  -0.1142   0.0345
  1881.500  -0.1446  -0.1093   0.0353
  1881.583  -0.1316  -0.0936   0.0380
  1881.667  -0.1138  -0.0750   0.0388
  1881.750  -0.1133  -0.0747   0.0386
  1881.833  -0.1299  -0.0886   0.0413
  1881.917  -0.1437  -0.0993   0.0444
  1882.000  -0.1483  -0.0964   0.0519
  1882.083  -0.1609  -0.0998   0.0611
  1882.167  -0.1636  -0.0950   0.0686
  1882.250  -0.1591  -0.0884   0.0707
  1882.333  -0.1602  -0.0908   0.0694
  1882.417  -0.1574  -0.0861   0.0713
  1882.500  -0.1724  -0.0937   0.0787
  1882.583  -0.2061  -0.1291   0.0770
  1882.667  -0.2410  -0.1711   0.0699
  1882.750  -0.2500  -0.1868   0.0632
  1882.833  -0.2475  -0.1904   0.0571
  1882.917  -0.2481  -0.1968   0.0513
  1883.000  -0.2278  -0.1858   0.0420
  1883.083  -0.2081  -0.1841   0.0240
  1883.167  -0.2116  -0.1976   0.0140
  1883.250  -0.2186  -0.2121   0.0065
  1883.333  -0.2134  -0.2029   0.0105
  1883.417  -0.2170  -0.2024   0.0146
  1883.500  -0.2036  -0.1967   0.0069
  1883.583  -0.1892  -0.1842   0.0050
  1883.667  -0.1705  -0.1587   0.0118
  1883.750  -0.1855  -0.1723   0.0132
  1883.833  -0.1987  -0.1821   0.0166
  1883.917  -0.2098  -0.1877   0.0221
  1884.000  -0.2343  -0.2094   0.0249
  1884.083  -0.2580  -0.2308   0.0272
  1884.167  -0.2668  -0.2415   0.0253
  1884.250  -0.2735  -0.2454   0.0281
  1884.333  -0.2787  -0.2542   0.0245
  1884.417  -0.2790  -0.2622   0.0168
  1884.500  -0.2833  -0.2711   0.0122
  1884.583  -0.3128  -0.3095   0.0033
  1884.667  -0.3239  -0.3243  -0.0004
  1884.750  -0.3135  -0.3153  -0.0018
  1884.833  -0.3133  -0.3216  -0.0083
  1884.917  -0.3134  -0.3293  -0.0159
  1885.000  -0.3150  -0.3395  -0.0245
  1885.083  -0.3109  -0.3347  -0.0238
  1885.167  -0.3098  -0.3358  -0.0260
  1885.250  -0.3001  -0.3322  -0.0321
  1885.333  -0.2905  -0.3295  -0.0390
  1885.417  -0.2771  -0.3230  -0.0459
  1885.500  -0.2544  -0.3034  -0.0490
  1885.583  -0.2391  -0.2846  -0.0455
  1885.667  -0.2508  -0.2980  -0.0472
  1885.750  -0.2634  -0.3129  -0.0495
  1885.833  -0.2524  -0.3011  -0.0487
  1885.917  -0.2414  -0.2894  -0.0480
  1886.000  -0.2332  -0.2802  -0.0470
  1886.083  -0.2205  -0.2700  -0.0495
  1886.167  -0.2171  -0.2735  -0.0564
  1886.250  -0.2130  -0.2738  -0.0608
  1886.333  -0.2201  -0.2791  -0.0590
  1886.417  -0.2320  -0.2825  -0.0505
  1886.500  -0.2474  -0.2990  -0.0516
  1886.583  -0.2651  -0.3191  -0.0540
  1886.667  -0.2652  -0.3218  -0.0566
  1886.750  -0.2580  -0.3137  -0.0557
  1886.833  -0.2673  -0.3205  -0.0532
  1886.917  -0.2735  -0.3258  -0.0523
  1887.000  -0.2691  -0.3104  -0.0413
  1887.083  -0.2742  -0.3128  -0.0386
  1887.167  -0.2809  -0.3095  -0.0286
  1887.250  -0.2905  -0.3101  -0.0196
  1887.333  -0.2999  -0.3160  -0.0161
  1887.417  -0.3007  -0.3160  -0.0153
  1887.500  -0.3199  -0.3269  -0.0070
  1887.583  -0.3067  -0.3081  -0.0014
  1887.667  -0.3052  -0.3035   0.0017
  1887.750  -0.3182  -0.3171   0.0011
  1887.833  -0.3110  -0.3099   0.0011
  1887.917  -0.3101  -0.3008   0.0093
  1888.000  -0.3093  -0.3013   0.0080
  1888.083  -0.3040  -0.2936   0.0104
