 Total solar irradiance (W/m2)
 -----------------------------
    year   365-day mean
 -----------------------------
  1976.512  1360.6785
  1976.515  1360.6785
  1976.517  1360.6785
  1976.520  1360.6790
  1976.523  1360.6793
  1976.526  1360.6798
  1976.528  1360.6798
  1976.531  1360.6798
  1976.534  1360.6793
  1976.536  1360.6793
  1976.539  1360.6798
  1976.542  1360.6804
  1976.544  1360.6808
  1976.547  1360.6815
  1976.550  1360.6821
  1976.552  1360.6823
  1976.555  1360.6825
  1976.558  1360.6824
  1976.560  1360.6821
  1976.563  1360.6819
  1976.566  1360.6819
  1976.568  1360.6821
  1976.571  1360.6821
  1976.574  1360.6818
  1976.577  1360.6818
  1976.579  1360.6813
  1976.582  1360.6808
  1976.585  1360.6803
  1976.587  1360.6805
  1976.590  1360.6805
  1976.593  1360.6805
  1976.595  1360.6805
  1976.598  1360.6812
  1976.601  1360.6812
  1976.604  1360.6812
  1976.606  1360.6812
  1976.609  1360.6812
  1976.612  1360.6812
  1976.614  1360.6812
  1976.617  1360.6815
  1976.620  1360.6815
  1976.622  1360.6815
  1976.625  1360.6815
  1976.628  1360.6816
  1976.630  1360.6819
  1976.633  1360.6829
  1976.636  1360.6836
  1976.638  1360.6843
  1976.641  1360.6846
  1976.644  1360.6846
  1976.646  1360.6846
  1976.649  1360.6855
  1976.652  1360.6855
  1976.655  1360.6855
  1976.657  1360.6862
  1976.660  1360.6862
  1976.663  1360.6862
  1976.665  1360.6862
  1976.668  1360.6864
  1976.671  1360.6868
  1976.673  1360.6874
  1976.676  1360.6879
  1976.679  1360.6881
  1976.681  1360.6885
  1976.684  1360.6887
  1976.687  1360.6892
  1976.689  1360.6899
  1976.692  1360.6906
  1976.695  1360.6914
  1976.698  1360.6923
  1976.700  1360.6921
  1976.703  1360.6919
  1976.706  1360.6917
  1976.708  1360.6921
  1976.711  1360.6929
  1976.714  1360.6938
  1976.716  1360.6951
  1976.719  1360.6968
  1976.722  1360.6970
  1976.724  1360.6968
  1976.727  1360.6969
  1976.730  1360.6967
  1976.732  1360.6968
  1976.735  1360.6981
  1976.738  1360.7004
  1976.740  1360.7030
  1976.743  1360.7059
  1976.746  1360.7080
  1976.751  1360.7102
  1976.754  1360.7120
  1976.757  1360.7136
  1976.759  1360.7142
  1976.762  1360.7153
  1976.765  1360.7155
  1976.767  1360.7155
  1976.770  1360.7155
  1976.773  1360.7155
  1976.776  1360.7156
  1976.778  1360.7157
