Monthly Mean Sunspot Numbers
Royal Observtory of Belsium
SILSO version 2
----------------------------
  year       ssn
----------------------------
  1975.042   27.3
  1975.123   16.7
  1975.204   16.9
  1975.288    7.7
  1975.371   13.1
  1975.455   16.7
  1975.538   40.4
  1975.623   56.7
  1975.707   20.3
  1975.790   13.6
  1975.874   27.9
  1975.958   11.6
  1976.042   11.9
  1976.124    6.4
  1976.206   31.5
  1976.290   27.3
  1976.373   18.2
  1976.456   17.9
  1976.540    2.9
  1976.624   24.1
  1976.708   20.0
  1976.791   29.7
  1976.874    7.9
  1976.958   22.3
  1977.042   23.8
  1977.123   33.3
  1977.204   13.0
  1977.288   19.0
  1977.371   27.0
  1977.455   54.9
  1977.538   30.6
  1977.623   43.0
  1977.707   62.4
  1977.790   62.1
  1977.874   41.6
  1977.958   61.4
  1978.042   73.7
  1978.123  132.6
  1978.204  108.4
  1978.288  141.2
  1978.371  117.1
  1978.455  134.6
  1978.538   99.7
  1978.623   82.4
  1978.707  195.7
  1978.790  177.1
  1978.874  138.5
  1978.958  173.9
  1979.042  235.9
  1979.123  194.7
  1979.204  195.3
  1979.288  143.7
  1979.371  190.3
  1979.455  211.7
  1979.538  225.7
  1979.623  201.4
  1979.707  266.9
  1979.790  263.6
  1979.874  259.5
  1979.958  249.6
  1980.042  226.1
  1980.124  219.4
  1980.206  178.7
  1980.290  232.2
  1980.373  254.7
  1980.456  222.7
  1980.540  192.9
  1980.624  191.7
  1980.708  219.6
  1980.791  233.3
  1980.874  209.5
  1980.958  246.9
  1981.042  156.6
  1981.123  189.9
  1981.204  196.6
  1981.288  225.3
  1981.371  194.7
  1981.455  131.6
  1981.538  205.3
  1981.623  242.5
  1981.707  245.3
  1981.790  216.2
  1981.874  186.0
  1981.958  195.4
  1982.042  149.8
  1982.123  230.9
  1982.204  221.1
  1982.288  170.3
  1982.371  119.3
  1982.455  163.7
  1982.538  139.4
  1982.623  161.9
  1982.707  167.4
  1982.790  134.3
  1982.874  127.5
  1982.958  169.0
  1983.042  115.5
  1983.123   73.1
  1983.204   88.7
  1983.288  109.6
  1983.371  132.5
  1983.455  131.5
  1983.538  108.9
  1983.623   96.0
  1983.707   69.9
  1983.790   72.5
  1983.874   45.7
  1983.958   45.6
  1984.042   74.8
  1984.124  110.2
  1984.206  116.7
  1984.290   90.4
  1984.373   96.9
  1984.456   65.1
  1984.540   55.7
  1984.624   35.0
  1984.708   22.6
  1984.791   12.6
  1984.874   26.5
  1984.958   21.4
  1985.042   17.8
  1985.123   20.7
  1985.204   16.9
  1985.288   20.4
  1985.371   32.4
  1985.455   28.3
  1985.538   39.9
  1985.623   10.1
  1985.707    4.3
  1985.790   22.0
  1985.874   17.9
  1985.958   15.8
  1986.042    2.8
  1986.123   27.9
  1986.204   13.8
  1986.288   22.4
  1986.371   16.1
  1986.455    0.6
  1986.538   18.1
  1986.623    9.9
  1986.707    5.1
  1986.790   40.1
  1986.874   15.4
  1986.958    5.8
  1987.042    9.8
  1987.123    3.4
  1987.204   17.4
  1987.288   46.0
  1987.371   39.1
  1987.455   18.8
  1987.538   38.2
  1987.623   47.9
  1987.707   42.2
  1987.790   63.4
  1987.874   48.8
  1987.958   29.1
