Smoothed Sunspot Numbers
Royal Observtory of Belsium
SILSO version 2
----------------------------
    year     ssn
----------------------------
  1975.042   33.0
  1975.123   31.8
  1975.204   30.6
  1975.288   26.8
  1975.371   24.2
  1975.455   23.2
  1975.538   21.8
  1975.623   20.7
  1975.707   20.9
  1975.790   22.3
  1975.874   23.3
  1975.958   23.6
  1976.042   22.1
  1976.124   19.2
  1976.206   17.8
  1976.290   18.4
  1976.373   18.3
  1976.456   17.9
  1976.540   18.8
  1976.624   20.5
  1976.708   20.8
  1976.791   19.7
  1976.874   19.7
  1976.958   21.6
  1977.042   24.3
  1977.123   26.3
  1977.204   28.8
  1977.288   31.9
  1977.371   34.7
  1977.455   37.7
  1977.538   41.4
  1977.623   47.6
  1977.707   55.8
  1977.790   64.8
  1977.874   73.7
  1977.958   80.7
  1978.042   86.9
  1978.123   91.5
  1978.204   98.7
  1978.288  109.0
  1978.371  117.8
  1978.455  126.6
  1978.538  138.0
  1978.623  147.3
  1978.707  153.6
  1978.790  157.3
  1978.874  160.4
  1978.958  166.7
  1979.042  175.2
  1979.123  185.4
  1979.204  193.3
  1979.288  199.9
  1979.371  208.5
  1979.455  216.7
  1979.538  219.5
  1979.623  220.1
  1979.707  220.4
  1979.790  223.4
  1979.874  229.8
  1979.958  232.9
  1980.042  232.0
  1980.124  230.2
  1980.206  227.9
  1980.290  224.6
  1980.373  221.3
  1980.456  219.1
  1980.540  216.1
  1980.624  212.0
  1980.708  211.5
  1980.791  211.9
  1980.874  209.1
  1980.958  202.8
  1981.042  199.6
  1981.123  202.2
  1981.204  205.4
  1981.288  205.7
  1981.371  204.1
  1981.455  200.9
  1981.538  198.5
  1981.623  199.9
  1981.707  202.7
  1981.790  201.4
  1981.874  196.0
  1981.958  194.1
  1982.042  192.7
  1982.123  186.6
  1982.204  180.0
  1982.288  173.4
  1982.371  167.5
  1982.455  164.0
  1982.538  161.5
  1982.623  153.5
  1982.707  141.4
  1982.790  133.3
  1982.874  131.3
  1982.958  130.5
  1983.042  127.9
  1983.123  123.9
  1983.204  117.1
  1983.288  110.5
  1983.371  104.5
  1983.455   95.9
  1983.538   89.1
  1983.623   88.9
  1983.707   91.7
  1983.790   92.0
  1983.874   89.7
  1983.958   85.5
  1984.042   80.5
  1984.124   75.8
  1984.206   71.2
  1984.290   66.8
  1984.373   63.5
  1984.456   61.7
  1984.540   58.3
