Global surface temperature (C)
relative to 1880-1920 mean
Alternative Scenario
------------------------------
 year   T_anomaly
------------------------------
 1850   -0.0388
 1851   -0.0013
 1852    0.0314
 1853    0.0516
 1854    0.0637
 1855    0.0670
 1856   -0.0246
 1857   -0.1507
 1858   -0.1503
 1859   -0.0855
 1860   -0.0258
 1861    0.0099
 1862    0.0028
 1863    0.0028
 1864    0.0210
 1865    0.0411
 1866    0.0621
 1867    0.0807
 1868    0.0943
 1869    0.1060
 1870    0.1186
 1871    0.1273
 1872    0.1321
 1873    0.1282
 1874    0.1261
 1875    0.1257
 1876    0.1125
 1877    0.1049
 1878    0.1066
 1879    0.1116
 1880    0.1201
 1881    0.1306
 1882    0.1343
 1883    0.0189
 1884   -0.3168
 1885   -0.3612
 1886   -0.2798
 1887   -0.2405
 1888   -0.1893
 1889   -0.1721
 1890   -0.1952
 1891   -0.1864
 1892   -0.1533
 1893   -0.0906
 1894   -0.0140
 1895    0.0337
 1896    0.0167
 1897    0.0022
 1898    0.0086
 1899    0.0364
 1900    0.0666
 1901    0.0887
 1902    0.0541
 1903   -0.1051
 1904   -0.1164
 1905   -0.0553
 1906    0.0028
 1907    0.0309
 1908    0.0464
 1909    0.0714
 1910    0.0920
 1911    0.1089
 1912    0.0788
 1913    0.0496
 1914    0.0680
 1915    0.1059
 1916    0.1383
 1917    0.1637
 1918    0.1831
 1919    0.1918
 1920    0.1772
 1921    0.1697
 1922    0.1820
 1923    0.1993
 1924    0.2058
 1925    0.2142
 1926    0.2249
 1927    0.2398
 1928    0.2389
 1929    0.2256
 1930    0.2290
 1931    0.2373
 1932    0.2321
 1933    0.2308
 1934    0.2414
 1935    0.2530
 1936    0.2716
 1937    0.2846
 1938    0.2877
 1939    0.2932
 1940    0.3000
 1941    0.3072
 1942    0.3053
 1943    0.2998
 1944    0.3025
 1945    0.3111
 1946    0.3178
 1947    0.3259
 1948    0.3377
 1949    0.3410
 1950    0.3414
 1951    0.3399
 1952    0.3368
 1953    0.3346
 1954    0.3340
 1955    0.3421
 1956    0.3584
 1957    0.3816
 1958    0.3983
 1959    0.4058
 1960    0.4019
 1961    0.3792
 1962    0.3550
 1963    0.2562
 1964    0.1152
 1965    0.0933
 1966    0.1492
 1967    0.2110
 1968    0.2174
 1969    0.2002
 1970    0.2382
 1971    0.2955
 1972    0.3448
 1973    0.3739
 1974    0.3858
 1975    0.3502
 1976    0.3660
 1977    0.4167
 1978    0.4583
 1979    0.4938
 1980    0.5340
 1981    0.5676
 1982    0.4627
 1983    0.3236
 1984    0.3485
 1985    0.4330
 1986    0.4855
 1987    0.5294
 1988    0.5802
 1989    0.6355
 1990    0.6763
 1991    0.5838
 1992    0.3398
 1993    0.3494
 1994    0.4626
 1995    0.5593
 1996    0.6283
 1997    0.6800
 1998    0.7341
 1999    0.7854
 2000    0.8283
 2001    0.8677
 2002    0.9129
 2003    0.9319
 2004    0.9443
 2005    0.9522
 2006    0.9597
 2007    0.9664
 2008    0.9751
 2009    0.9832
 2010    0.9998
 2011    1.0178
 2012    1.0397
 2013    1.0602
 2014    1.0784
 2015    1.0959
 2016    1.1076
 2017    1.1153
 2018    1.1207
 2019    1.1245
 2020    1.1302
 2021    1.1443
 2022    1.1643
 2023    1.1878
 2024    1.2070
 2025    1.2227
 2026    1.2332
 2027    1.2396
 2028    1.2435
 2029    1.2458
 2030    1.1390
 2031    0.9891
 2032    0.9701
 2033    1.0310
 2034    1.1006
 2035    1.1110
 2036    1.0932
 2037    1.1252
 2038    1.1834
 2039    1.2208
 2040    1.2475
 2041    1.2693
 2042    1.2847
 2043    1.3031
 2044    1.3245
 2045    1.3504
 2046    1.3722
 2047    1.3875
 2048    1.3951
 2049    1.3985
 2050    1.3995
 2051    1.3986
 2052    1.3961
 2053    1.3960
 2054    1.4041
 2055    1.4180
 2056    1.4356
 2057    1.4491
 2058    1.4598
 2059    1.4650
 2060    1.3418
 2061    1.1820
 2062    1.1906
 2063    1.2567
 2064    1.2923
 2065    1.3244
 2066    1.3608
 2067    1.3968
 2068    1.4272
 2069    1.4494
 2070    1.4695
 2071    1.4863
 2072    1.4922
 2073    1.4930
 2074    1.4920
 2075    1.4926
 2076    1.5011
 2077    1.5150
 2078    1.5321
 2079    1.5452
 2080    1.5553
 2081    1.5601
 2082    1.5609
 2083    1.5595
 2084    1.5566
 2085    1.5521
 2086    1.5500
 2087    1.5563
 2088    1.5687
 2089    1.5847
 2090    1.4686
 2091    1.2007
 2092    1.1912
 2093    1.2915
 2094    1.3727
 2095    1.4236
 2096    1.4542
 2097    1.4807
 2098    1.5030
 2099    1.5258
 2100    1.5571
------------------------------
