year  +2%450  con450  +2%350  con350  -3%350  -6%350
2016  400.62  400.53  400.62  400.53  400.53  400.53
2017  403.10  402.85  403.10  402.85  402.85  402.85
2018  405.64  405.14  405.64  405.14  405.14  405.14
2019  408.23  407.42  408.23  407.42  407.42  407.42
2020  410.88  409.68  410.88  409.68  409.68  409.68
2021  413.37  411.83  413.32  411.78  411.71  411.59
2022  415.72  413.87  415.58  413.73  413.54  413.21
2023  417.93  415.82  417.66  415.55  415.18  414.56
2024  420.02  417.67  419.57  417.23  416.65  415.67
2025  421.98  419.44  421.33  418.78  417.95  416.55
2026  423.83  421.12  422.93  420.21  419.08  417.23
2027  425.58  422.71  424.38  421.51  420.07  417.73
2028  427.22  424.22  425.69  422.70  420.91  418.04
2029  428.76  425.65  426.86  423.76  421.61  418.19
2030  430.20  427.00  427.91  424.71  422.18  418.18
2031  431.60  428.33  428.87  425.60  422.66  418.08
2032  432.96  429.62  429.76  426.42  423.06  417.89
2033  434.27  430.87  430.56  427.17  423.39  417.62
2034  435.54  432.10  431.29  427.85  423.63  417.26
2035  436.77  433.29  431.95  428.47  423.80  416.84
2036  437.97  434.44  432.54  429.02  423.90  416.35
2037  439.13  435.56  433.06  429.50  423.93  415.80
2038  440.26  436.65  433.52  429.92  423.90  415.18
2039  441.35  437.70  433.91  430.27  423.79  414.52
2040  442.42  438.72  434.24  430.55  423.63  413.81
2041  443.46  439.71  434.52  430.77  423.40  413.06
2042  444.48  440.67  434.74  430.93  423.12  412.26
2043  445.48  441.59  434.92  431.03  422.78  411.43
2044  446.47  442.48  435.04  431.06  422.39  410.56
2045  447.43  443.34  435.12  431.03  421.94  409.66
2046  448.38  444.16  435.15  430.94  421.45  408.73
2047  449.33  444.96  435.15  430.79  420.90  407.78
2048  450.26  445.72  435.10  430.57  420.31  406.80
2049  451.19  446.45  435.03  430.30  419.67  405.80
2050  452.11  447.15  434.92  429.97  418.99  404.78
2051  453.04  447.82  434.78  429.58  418.27  403.74
2052  453.96  448.46  434.61  429.13  417.50  402.68
2053  454.89  449.07  434.43  428.62  416.70  401.61
2054  455.83  449.65  434.22  428.05  415.86  400.52
2055  456.78  450.20  433.99  427.43  414.98  399.42
2056  457.74  450.72  433.75  426.75  414.07  398.31
2057  458.71  451.21  433.50  426.02  413.12  397.19
2058  459.70  451.67  433.24  425.23  412.13  396.05
2059  460.72  452.10  432.97  424.39  411.12  394.91
2060  461.76  452.50  432.70  423.49  410.07  393.76
2061  462.82  452.87  432.44  422.54  409.00  392.61
2062  463.92  453.22  432.17  421.53  407.89  391.45
2063  465.04  453.53  431.91  420.47  406.76  390.28
2064  466.21  453.82  431.66  419.36  405.60  389.10
2065  467.41  454.08  431.42  418.20  404.42  387.92
2066  468.65  454.31  431.20  416.99  403.20  386.74
2067  469.94  454.51  431.00  415.72  401.97  385.55
2068  471.27  454.69  430.82  414.41  400.71  384.36
2069  472.66  454.83  430.66  413.04  399.43  383.17
2070  474.10  454.95  430.53  411.63  398.12  381.97
2071  475.34  455.05  430.18  410.17  396.79  380.77
2072  476.42  455.11  429.63  408.65  395.45  379.57
2073  477.32  455.15  428.89  407.10  394.08  378.37
2074  478.06  455.16  427.96  405.49  392.69  377.16
2075  478.65  455.15  426.86  403.83  391.29  375.96
2076  479.09  455.11  425.59  402.14  389.86  374.75
2077  479.38  455.04  424.16  400.39  388.42  373.54
2078  479.52  454.95  422.56  398.60  386.96  372.33
2079  479.53  454.83  420.81  396.77  385.49  371.12
2080  479.40  454.68  418.90  394.89  384.00  369.90
2081  479.14  454.51  416.84  392.96  382.49  368.69
2082  478.74  454.31  414.63  391.00  380.97  367.48
2083  478.21  454.09  412.28  388.99  379.43  366.26
2084  477.56  453.84  409.79  386.94  377.88  365.04
2085  476.77  453.56  407.15  384.85  376.32  363.83
2086  475.86  453.27  404.39  382.72  374.74  362.61
2087  474.83  452.94  401.49  380.55  373.15  361.39
2088  473.68  452.59  398.46  378.33  371.55  360.17
2089  472.41  452.22  395.30  376.08  369.94  358.96
2090  471.02  451.82  392.01  373.79  368.31  357.74
2091  469.51  451.39  388.61  371.47  366.68  356.52
2092  467.89  450.95  385.08  369.10  365.03  355.30
2093  466.15  450.48  381.44  366.70  363.37  354.08
2094  464.30  449.98  377.69  364.27  361.71  352.86
2095  462.35  449.46  373.82  361.79  360.03  351.64
2096  460.28  448.92  369.85  359.29  358.35  350.41
2097  458.11  448.35  365.77  356.75  356.65  349.19
2098  455.83  447.76  361.59  354.17  354.95  347.97
2099  453.44  447.14  357.30  351.57  353.24  346.75
2100  450.95  446.50  352.92  348.93  351.52  345.52
