Year  plus2  cons  minus3  minus6
2016  399.42  399.36  399.36  399.36
2017  401.88  401.68  401.68  401.68
2018  404.40  403.97  403.97  403.97
2019  406.97  406.24  406.24  406.24
2020  409.59  408.50  408.50  408.50
2021  412.23  410.70  410.61  410.51
2022  414.89  412.84  412.54  412.23
2023  417.56  414.93  414.30  413.71
2024  420.25  416.96  415.92  414.95
2025  422.97  418.93  417.40  415.99
2026  425.71  420.86  418.75  416.83
2027  428.47  422.75  419.96  417.50
2028  431.27  424.58  421.06  418.00
2029  434.10  426.37  422.04  418.36
2030  436.96  428.11  422.90  418.57
2031  439.90  429.85  423.70  418.69
2032  442.92  431.59  424.44  418.73
2033  446.02  433.33  425.13  418.71
2034  449.20  435.07  425.75  418.62
2035  452.46  436.81  426.33  418.47
2036  455.82  438.55  426.85  418.26
2037  459.25  440.28  427.33  418.01
2038  462.78  442.01  427.76  417.71
2039  466.39  443.74  428.15  417.37
2040  470.10  445.47  428.49  417.00
2041  473.90  447.20  428.80  416.59
2042  477.79  448.92  429.07  416.15
2043  481.79  450.64  429.29  415.69
2044  485.88  452.36  429.49  415.21
2045  490.07  454.08  429.65  414.70
2046  494.37  455.80  429.78  414.18
2047  498.77  457.51  429.88  413.64
2048  503.28  459.22  429.95  413.09
2049  507.91  460.93  430.00  412.52
2050  512.65  462.64  430.02  411.95
2051  517.50  464.34  430.01  411.37
2052  522.48  466.05  429.98  410.78
2053  527.58  467.75  429.93  410.19
2054  532.80  469.45  429.86  409.59
2055  538.15  471.15  429.77  408.99
2056  543.64  472.85  429.65  408.38
2057  549.26  474.55  429.52  407.78
2058  555.02  476.24  429.38  407.18
2059  560.92  477.93  429.21  406.57
2060  566.97  479.63  429.04  405.97
2061  573.16  481.32  428.84  405.37
2062  579.51  483.01  428.64  404.77
2063  586.02  484.70  428.42  404.18
2064  592.69  486.38  428.19  403.59
2065  599.53  488.07  427.95  403.00
2066  606.53  489.76  427.69  402.42
2067  613.71  491.44  427.43  401.84
2068  621.06  493.12  427.15  401.27
2069  628.60  494.81  426.87  400.70
2070  636.33  496.49  426.58  400.14
2071  644.06  498.17  426.28  399.59
2072  651.74  499.85  425.98  399.04
2073  659.38  501.53  425.67  398.49
2074  667.00  503.21  425.35  397.95
2075  674.58  504.89  425.02  397.42
2076  682.14  506.57  424.69  396.90
2077  689.67  508.25  424.36  396.38
2078  697.19  509.93  424.02  395.87
2079  704.69  511.61  423.67  395.36
2080  712.17  513.28  423.32  394.86
2081  719.64  514.96  422.97  394.37
2082  727.09  516.64  422.62  393.88
2083  734.54  518.31  422.26  393.40
2084  741.97  519.99  421.90  392.93
2085  749.40  521.66  421.53  392.46
2086  756.82  523.34  421.17  392.00
2087  764.23  525.02  420.80  391.55
2088  771.63  526.69  420.43  391.10
2089  779.03  528.37  420.06  390.66
2090  786.43  530.04  419.69  390.23
2091  793.82  531.72  419.32  389.80
2092  801.21  533.40  418.95  389.37
2093  808.59  535.07  418.57  388.96
2094  815.97  536.75  418.20  388.55
2095  823.35  538.42  417.82  388.14
2096  830.73  540.10  417.45  387.74
2097  838.11  541.78  417.08  387.35
2098  845.50  543.46  416.70  386.96
2099  852.88  545.13  416.33  386.58
2100  860.26  546.81  415.96  386.20
