Age  Temp
0  1.0
50  -0.13
150  -0.20
250  -0.28
350  -0.27
450  -0.22
550  -0.21
650  -0.16
750  -0.12
850  -0.06
950  -0.08
1050  -0.03
1150  -0.04
1250  -0.05
1350  -0.02
1450  -0.02
1550  -0.06
1650  -0.10
1750  -0.11
1850  -0.08
1950  -0.07
2050  -0.05
2150  -0.04
2250  -0.03
2350  -0.04
2450  -0.02
2550  -0.02
2650  0.00
2750  0.01
2850  0.04
2950  0.04
3050  0.03
3150  0.03
3250  0.03
3350  0.08
3450  0.09
3550  0.08
3650  0.13
3750  0.15
3850  0.15
3950  0.16
4050  0.17
4150  0.21
4250  0.22
4350  0.22
4450  0.25
4550  0.26
4650  0.24
4750  0.26
4850  0.30
4950  0.32
5050  0.33
5150  0.34
5250  0.35
5350  0.35
5450  0.34
5550  0.34
5650  0.35
5750  0.35
5850  0.33
5950  0.32
6050  0.34
6150  0.36
6250  0.35
6350  0.35
6450  0.34
6550  0.35
6650  0.37
6750  0.38
6850  0.40
6950  0.43
7050  0.43
7150  0.41
7250  0.38
7350  0.36
7450  0.36
7550  0.38
7650  0.38
7750  0.36
7850  0.34
7950  0.34
8050  0.36
8150  0.32
8250  0.33
8350  0.36
8450  0.38
8550  0.39
8650  0.39
8750  0.39
8850  0.39
8950  0.39
9050  0.38
9150  0.37
9250  0.37
9350  0.37
9450  0.36
9550  0.34
9650  0.33
9750  0.32
9850  0.30
9950  0.27
10050  0.23
10150  0.19
10250  0.15
10350  0.13
10450  0.13
10550  0.11
10650  0.08
10750  0.02
10850  -0.05
10950  -0.13
11050  -0.21
11150  -0.28
11250  -0.35
11350  -0.43
11450  -0.51
11550  -0.60
11650  -0.73
11750  -0.88
11850  -0.98
11950  -1.05
12050  -1.12
