Net forcing woth CO2 extraction         
-------------------------------------------
year   +2%    con450  con350   -3%     -6%
-------------------------------------------
1850 -0.0828 -0.0828 -0.0828 -0.0828 -0.0828
1851 -0.0587 -0.0587 -0.0587 -0.0587 -0.0587
1852 -0.0357 -0.0357 -0.0357 -0.0357 -0.0357
1853 -0.0317 -0.0317 -0.0317 -0.0317 -0.0317
1854 -0.0487 -0.0487 -0.0487 -0.0487 -0.0487
1855 -0.1017 -0.1017 -0.1017 -0.1017 -0.1017
1856 -0.9430 -0.9430 -0.9430 -0.9430 -0.9430
1857 -1.4233 -1.4233 -1.4233 -1.4233 -1.4233
1858 -0.6743 -0.6743 -0.6743 -0.6743 -0.6743
1859 -0.2274 -0.2274 -0.2274 -0.2274 -0.2274
1860 -0.0593 -0.0593 -0.0593 -0.0593 -0.0593
1861 -0.0435 -0.0435 -0.0435 -0.0435 -0.0435
1862 -0.2970 -0.2970 -0.2970 -0.2970 -0.2970
1863 -0.2232 -0.2232 -0.2232 -0.2232 -0.2232
1864 -0.0976 -0.0976 -0.0976 -0.0976 -0.0976
1865 -0.0479 -0.0479 -0.0479 -0.0479 -0.0479
1866 -0.0283 -0.0283 -0.0283 -0.0283 -0.0283
1867 -0.0314 -0.0314 -0.0314 -0.0314 -0.0314
1868 -0.0044 -0.0044 -0.0044 -0.0044 -0.0044
1869  0.0241  0.0241  0.0241  0.0241  0.0241
1870  0.0646  0.0646  0.0646  0.0646  0.0646
1871  0.0572  0.0572  0.0572  0.0572  0.0572
1872  0.0295  0.0295  0.0295  0.0295  0.0295
1873 -0.0375 -0.0375 -0.0375 -0.0375 -0.0375
1874 -0.0313 -0.0313 -0.0313 -0.0313 -0.0313
1875 -0.0325 -0.0325 -0.0325 -0.0325 -0.0325
1876 -0.1514 -0.1514 -0.1514 -0.1514 -0.1514
1877 -0.1273 -0.1273 -0.1273 -0.1273 -0.1273
1878 -0.0801 -0.0801 -0.0801 -0.0801 -0.0801
1879 -0.0501 -0.0501 -0.0501 -0.0501 -0.0501
1880 -0.0005 -0.0005 -0.0005 -0.0005 -0.0005
1881  0.0394  0.0394  0.0394  0.0394  0.0394
1882  0.0058  0.0058  0.0058  0.0058  0.0058
1883 -1.0414 -1.0414 -1.0414 -1.0414 -1.0414
1884 -3.2054 -3.2054 -3.2054 -3.2054 -3.2054
1885 -1.3914 -1.3914 -1.3914 -1.3914 -1.3914
1886 -0.7829 -0.7829 -0.7829 -0.7829 -0.7829
1887 -0.8022 -0.8022 -0.8022 -0.8022 -0.8022
1888 -0.4569 -0.4569 -0.4569 -0.4569 -0.4569
1889 -0.6138 -0.6138 -0.6138 -0.6138 -0.6138
1890 -0.8498 -0.8498 -0.8498 -0.8498 -0.8498
1891 -0.6016 -0.6016 -0.6016 -0.6016 -0.6016
1892 -0.4037 -0.4037 -0.4037 -0.4037 -0.4037
1893 -0.1003 -0.1003 -0.1003 -0.1003 -0.1003
1894  0.0560  0.0560  0.0560  0.0560  0.0560
1895  0.0848  0.0848  0.0848  0.0848  0.0848
1896 -0.3331 -0.3331 -0.3331 -0.3331 -0.3331
1897 -0.3258 -0.3258 -0.3258 -0.3258 -0.3258
1898 -0.2210 -0.2210 -0.2210 -0.2210 -0.2210
1899 -0.0493 -0.0493 -0.0493 -0.0493 -0.0493
1900  0.0180  0.0180  0.0180  0.0180  0.0180
1901  0.0388  0.0388  0.0388  0.0388  0.0388
1902 -0.3988 -0.3988 -0.3988 -0.3988 -0.3988
1903 -1.5440 -1.5440 -1.5440 -1.5440 -1.5440
1904 -0.5762 -0.5762 -0.5762 -0.5762 -0.5762
1905 -0.1715 -0.1715 -0.1715 -0.1715 -0.1715
1906  0.0005  0.0005  0.0005  0.0005  0.0005
1907 -0.0652 -0.0652 -0.0652 -0.0652 -0.0652
1908 -0.0632 -0.0632 -0.0632 -0.0632 -0.0632
1909  0.0650  0.0650  0.0650  0.0650  0.0650
1910  0.0786  0.0786  0.0786  0.0786  0.0786
1911  0.1058  0.1058  0.1058  0.1058  0.1058
1912 -0.2989 -0.2989 -0.2989 -0.2989 -0.2989
1913 -0.4041 -0.4041 -0.4041 -0.4041 -0.4041
1914 -0.0599 -0.0599 -0.0599 -0.0599 -0.0599
1915  0.1261  0.1261  0.1261  0.1261  0.1261
1916  0.1996  0.1996  0.1996  0.1996  0.1996
1917  0.2363  0.2363  0.2363  0.2363  0.2363
1918  0.2508  0.2508  0.2508  0.2508  0.2508
1919  0.2096  0.2096  0.2096  0.2096  0.2096
1920  0.0221  0.0221  0.0221  0.0221  0.0221
1921  0.0516  0.0516  0.0516  0.0516  0.0516
1922  0.1548  0.1548  0.1548  0.1548  0.1548
1923  0.2058  0.2058  0.2058  0.2058  0.2058
1924  0.1686  0.1686  0.1686  0.1686  0.1686
1925  0.2167  0.2167  0.2167  0.2167  0.2167
