Global CO2 annual growth (ppm/year)
----------------------------------
   Year     dCO2
----------------------------------
 1981.042   1.64
 1981.125   1.50
 1981.208   1.81
 1981.292   1.71
 1981.375   1.00
 1981.458   0.62
 1981.542   0.76
 1981.625   0.83
 1981.708   0.91
 1981.792   1.25
 1981.875   1.23
 1981.958   1.09
 1982.042   1.18
 1982.125   1.20
 1982.208   0.86
 1982.292   0.86
 1982.375   0.98
 1982.458   0.91
 1982.542   0.56
 1982.625   0.07
 1982.708   0.22
 1982.792   0.57
 1982.875   0.80
 1982.958   1.05
 1983.042   1.00
 1983.125   0.79
 1983.208   0.80
 1983.292   0.99
 1983.375   1.47
 1983.458   2.02
 1983.542   2.40
 1983.625   2.53
 1983.708   2.38
 1983.792   2.14
 1983.875   1.87
 1983.958   1.71
 1984.042   1.95
 1984.125   2.09
 1984.208   1.93
 1984.292   1.68
 1984.375   1.50
 1984.458   1.06
 1984.542   1.05
 1984.625   1.58
 1984.708   1.58
 1984.792   1.24
 1984.875   1.35
 1984.958   1.53
 1985.042   1.05
 1985.125   0.98
 1985.208   1.69
 1985.292   1.75
 1985.375   1.44
 1985.458   1.71
 1985.542   1.75
 1985.625   1.24
 1985.708   1.26
 1985.792   1.65
 1985.875   1.61
 1985.958   1.53
 1986.042   1.74
 1986.125   1.52
 1986.208   1.06
 1986.292   1.29
 1986.375   1.55
 1986.458   1.49
 1986.542   1.35
 1986.625   1.46
 1986.708   1.46
 1986.792   1.39
 1986.875   1.53
 1986.958   1.22
 1987.042   0.91
 1987.125   1.24
 1987.208   1.59
 1987.292   1.76
 1987.375   1.94
 1987.458   1.73
 1987.542   1.62
 1987.625   1.76
 1987.708   1.88
 1987.792   1.96
 1987.875   1.97
 1987.958   2.48
 1988.042   2.95
 1988.125   2.96
 1988.208   2.61
 1988.292   2.37
 1988.375   2.26
 1988.458   2.35
 1988.542   2.44
 1988.625   2.48
 1988.708   2.63
 1988.792   2.54
 1988.875   2.43
 1988.958   2.33
 1989.042   2.16
 1989.125   2.06
 1989.208   2.23
 1989.292   2.16
 1989.375   1.80
 1989.458   1.54
 1989.542   1.31
 1989.625   1.12
 1989.708   1.25
 1989.792   1.36
 1989.875   1.36
 1989.958   1.36
 1990.042   1.36
 1990.125   1.29
 1990.208   1.05
 1990.292   0.98
 1990.375   1.08
 1990.458   0.95
 1990.542   1.05
 1990.625   1.31
 1990.708   1.19
 1990.792   1.29
 1990.875   1.36
 1990.958   1.25
 1991.042   1.27
 1991.125   1.30
 1991.208   1.45
 1991.292   1.62
 1991.375   1.70
 1991.458   1.84
 1991.542   1.81
 1991.625   1.46
 1991.708   1.12
 1991.792   0.80
 1991.875   0.72
 1991.958   0.76
 1992.042   0.76
 1992.125   0.72
 1992.208   0.62
 1992.292   0.63
 1992.375   0.72
 1992.458   0.70
 1992.542   0.65
 1992.625   0.62
 1992.708   0.66
 1992.792   0.80
 1992.875   0.81
 1992.958   0.78
 1993.042   0.66
 1993.125   0.61
 1993.208   0.66
 1993.292   0.64
 1993.375   0.50
 1993.458   0.44
 1993.542   0.53
 1993.625   0.75
 1993.708   0.86
 1993.792   0.89
 1993.875   0.96
 1993.958   1.09
 1994.042   1.26
 1994.125   1.46
 1994.208   1.40
 1994.292   1.28
 1994.375   1.38
 1994.458   1.46
 1994.542   1.54
 1994.625   1.62
 1994.708   1.55
 1994.792   1.54
 1994.875   1.74
 1994.958   1.72
 1995.042   1.66
 1995.125   1.59
 1995.208   1.72
 1995.292   1.84
 1995.375   1.72
 1995.458   1.79
 1995.542   1.68
 1995.625   1.61
 1995.708   2.00
 1995.792   2.16
 1995.875   2.05
 1995.958   2.05
 1996.042   1.99
 1996.125   1.89
 1996.208   1.73
 1996.292   1.59
 1996.375   1.81
 1996.458   2.26
 1996.542   2.59
 1996.625   2.36
 1996.708   1.65
 1996.792   1.23
 1996.875   1.01
 1996.958   1.00
 1997.042   1.14
 1997.125   1.16
 1997.208   1.20
 1997.292   1.34
 1997.375   1.24
 1997.458   0.75
 1997.542   0.38
 1997.625   0.36
 1997.708   0.72
 1997.792   1.27
 1997.875   1.83
 1997.958   2.02
 1998.042   1.94
 1998.125   1.93
 1998.208   1.95
 1998.292   2.07
 1998.375   2.33
 1998.458   2.63
 1998.542   2.87
 1998.625   3.35
 1998.708   3.59
 1998.792   3.37
 1998.875   2.96
 1998.958   2.77
 1999.042   2.88
 1999.125   2.90
 1999.208   2.91
 1999.292   2.71
 1999.375   2.32
 1999.458   2.08
 1999.542   1.85
 1999.625   1.53
 1999.708   1.41
 1999.792   1.42
 1999.875   1.47
 1999.958   1.44
 2000.042   1.26
 2000.125   1.12
 2000.208   1.05
 2000.292   1.05
 2000.375   1.05
 2000.458   0.98
 2000.542   1.26
 2000.625   1.46
 2000.708   1.29
 2000.792   1.19
 2000.875   1.23
 2000.958   1.20
 2001.042   1.30
 2001.125   1.54
 2001.208   1.62
 2001.292   1.55
 2001.375   1.54
 2001.458   1.50
 2001.542   1.49
 2001.625   1.53
 2001.708   1.64
 2001.792   1.78
 2001.875   1.76
 2001.958   1.87
 2002.042   1.82
 2002.125   1.73
 2002.208   1.81
 2002.292   1.83
 2002.375   1.91
 2002.458   1.99
 2002.542   1.97
 2002.625   2.05
 2002.708   2.32
 2002.792   2.24
 2002.875   2.24
 2002.958   2.30
 2003.042   2.46
 2003.125   2.57
 2003.208   2.52
 2003.292   2.65
 2003.375   2.80
 2003.458   2.84
 2003.542   2.73
 2003.625   2.54
 2003.708   2.40
 2003.792   2.42
 2003.875   2.38
 2003.958   2.25
 2004.042   2.23
 2004.125   2.23
 2004.208   2.23
 2004.292   2.10
 2004.375   1.90
 2004.458   1.86
 2004.542   1.84
 2004.625   1.61
 2004.708   1.31
 2004.792   1.35
 2004.875   1.53
 2004.958   1.64
 2005.042   1.52
 2005.125   1.56
 2005.208   1.74
 2005.292   1.86
 2005.375   2.04
 2005.458   2.09
 2005.542   1.96
 2005.625   2.20
 2005.708   2.35
 2005.792   2.32
 2005.875   2.32
 2005.958   2.36
 2006.042   2.55
 2006.125   2.63
 2006.208   2.41
 2006.292   2.29
 2006.375   2.14
 2006.458   2.10
 2006.542   2.10
 2006.625   1.75
 2006.708   1.84
 2006.792   1.96
 2006.875   1.86
 2006.958   1.83
 2007.042   1.72
 2007.125   1.59
 2007.208   1.67
 2007.292   1.59
 2007.375   1.50
 2007.458   1.52
 2007.542   1.48
 2007.625   1.77
 2007.708   2.03
 2007.792   2.02
 2007.875   1.99
 2007.958   2.04
 2008.042   2.17
 2008.125   2.18
 2008.208   2.11
 2008.292   2.25
 2008.375   2.34
 2008.458   2.27
 2008.542   2.50
 2008.625   2.46
 2008.708   1.85
 2008.792   1.57
 2008.875   1.72
 2008.958   1.80
 2009.042   1.82
 2009.125   1.77
 2009.208   1.60
 2009.292   1.48
 2009.375   1.48
 2009.458   1.40
 2009.542   0.94
 2009.625   0.89
 2009.708   1.42
 2009.792   1.85
 2009.875   1.82
 2009.958   1.62
 2010.042   1.62
 2010.125   1.88
 2010.208   1.99
 2010.292   2.00
 2010.375   2.01
 2010.458   2.06
 2010.542   2.36
 2010.625   2.62
 2010.708   2.78
 2010.792   2.78
 2010.875   2.69
 2010.958   2.56
 2011.042   2.32
 2011.125   2.01
 2011.208   1.98
 2011.292   2.07
 2011.375   2.13
 2011.458   2.14
 2011.542   1.84
 2011.625   1.63
 2011.708   1.57
 2011.792   1.60
 2011.875   1.60
 2011.958   1.66
 2012.042   1.67
 2012.125   1.85
 2012.208   2.07
 2012.292   1.96
 2012.375   1.81
 2012.458   1.69
 2012.542   1.80
 2012.625   2.02
 2012.708   2.29
 2012.792   2.31
 2012.875   2.34
 2012.958   2.32
 2013.042   2.45
 2013.125   2.49
 2013.208   2.54
 2013.292   2.72
 2013.375   2.85
 2013.458   3.11
 2013.542   3.47
 2013.625   3.36
 2013.708   2.65
 2013.792   2.34
 2013.875   2.39
 2013.958   2.47
 2014.042   2.41
 2014.125   2.24
 2014.208   1.96
 2014.292   1.87
 2014.375   1.93
 2014.458   1.76
 2014.542   1.64
 2014.625   1.75
 2014.708   1.88
 2014.792   1.84
 2014.875   1.87
 2014.958   1.96
 2015.042   2.03
 2015.125   2.13
 2015.208   2.27
 2015.292   2.30
 2015.375   2.18
 2015.458   2.28
 2015.542   2.21
 2015.625   2.05
 2015.708   2.26
 2015.792   2.45
 2015.875   2.52
 2015.958   2.83
 2016.042   3.09
 2016.125   3.15
 2016.208   3.28
 2016.292   3.42
 2016.375   3.55
 2016.458   3.62
 2016.542   3.79
 2016.625   3.78
 2016.708   3.60
 2016.792   3.58
 2016.875   3.43
 2016.958   3.05
 2017.042   2.80
 2017.125   2.79
 2017.208   2.47
----------------------------------
