Global mean CH4 concentration (ppb)
-----------------------------------
 Year     monthly
-----------------------------------
1983.542  1625.4
1983.625  1625.9
1983.708  1636.1
1983.792  1644.6
1983.875  1643.0
1983.958  1639.6
1984.042  1638.7
1984.125  1638.1
1984.208  1639.5
1984.292  1643.3
1984.375  1643.2
1984.458  1639.7
1984.542  1637.8
1984.625  1640.6
1984.708  1649.3
1984.792  1654.6
1984.875  1653.7
1984.958  1656.0
1985.042  1656.5
1985.125  1652.7
1985.208  1654.1
1985.292  1658.0
1985.375  1656.3
1985.458  1650.3
1985.542  1646.2
1985.625  1651.0
1985.708  1661.8
1985.792  1667.6
1985.875  1667.1
1985.958  1665.9
1986.042  1665.9
1986.125  1666.8
1986.208  1669.1
1986.292  1670.8
1986.375  1668.6
1986.458  1664.9
1986.542  1662.4
1986.625  1663.4
1986.708  1670.9
1986.792  1678.0
1986.875  1678.8
1986.958  1677.9
1987.042  1677.1
1987.125  1676.7
1987.208  1678.5
1987.292  1680.8
1987.375  1681.8
1987.458  1680.3
1987.542  1676.1
1987.625  1676.3
1987.708  1684.1
1987.792  1690.8
1987.875  1691.3
1987.958  1690.3
1988.042  1690.4
1988.125  1690.8
1988.208  1690.8
1988.292  1690.4
1988.375  1689.8
1988.458  1688.0
1988.542  1686.2
1988.625  1689.1
1988.708  1695.9
1988.792  1701.5
1988.875  1703.1
1988.958  1702.2
1989.042  1699.8
1989.125  1699.7
1989.208  1701.4
1989.292  1703.2
1989.375  1703.6
1989.458  1700.9
1989.542  1698.4
1989.625  1701.3
1989.708  1706.5
1989.792  1710.2
1989.875  1712.3
1989.958  1711.9
1990.042  1711.0
1990.125  1712.3
1990.208  1713.3
1990.292  1712.5
1990.375  1711.0
1990.458  1708.6
1990.542  1706.2
1990.625  1709.0
1990.708  1716.5
1990.792  1721.6
1990.875  1723.3
1990.958  1723.0
1991.042  1720.9
1991.125  1720.4
1991.208  1721.3
1991.292  1722.2
1991.375  1722.7
1991.458  1719.7
1991.542  1715.9
1991.625  1718.0
1991.708  1725.0
1991.792  1732.3
1991.875  1737.5
1991.958  1740.0
1992.042  1739.4
1992.125  1737.3
1992.208  1736.2
1992.292  1736.3
1992.375  1735.4
1992.458  1732.0
1992.542  1728.6
1992.625  1729.3
1992.708  1733.3
1992.792  1737.3
1992.875  1739.5
1992.958  1738.8
1993.042  1735.5
1993.125  1734.0
1993.208  1735.3
1993.292  1736.7
1993.375  1735.0
1993.458  1730.9
1993.542  1728.2
1993.625  1730.5
1993.708  1737.4
1993.792  1742.8
1993.875  1745.2
1993.958  1744.6
1994.042  1741.1
1994.125  1740.4
1994.208  1741.7
1994.292  1742.0
1994.375  1740.8
1994.458  1737.2
1994.542  1732.5
1994.625  1733.2
1994.708  1741.5
1994.792  1749.3
1994.875  1751.3
1994.958  1751.2
1995.042  1751.0
1995.125  1749.7
1995.208  1749.1
1995.292  1749.3
1995.375  1747.8
1995.458  1743.0
1995.542  1739.8
1995.625  1742.7
1995.708  1748.9
1995.792  1753.9
1995.875  1755.5
1995.958  1753.9
1996.042  1752.1
1996.125  1752.9
1996.208  1752.3
1996.292  1749.3
1996.375  1747.7
1996.458  1745.7
1996.542  1741.8
1996.625  1743.0
1996.708  1751.1
1996.792  1758.8
1996.875  1760.0
1996.958  1756.9
1997.042  1753.2
1997.125  1753.7
1997.208  1755.2
1997.292  1754.9
1997.375  1753.5
1997.458  1750.1
1997.542  1746.1
1997.625  1747.5
1997.708  1754.4
1997.792  1760.1
1997.875  1761.9
1997.958  1761.7
1998.042  1761.0
1998.125  1761.2
1998.208  1762.5
1998.292  1764.4
1998.375  1764.4
1998.458  1760.7
1998.542  1756.3
1998.625  1759.3
1998.708  1769.4
1998.792  1775.7
1998.875  1775.6
1998.958  1774.2
1999.042  1773.7
1999.125  1773.5
1999.208  1774.0
1999.292  1774.6
1999.375  1772.5
1999.458  1767.3
1999.542  1763.0
1999.625  1764.2
1999.708  1770.1
1999.792  1776.0
1999.875  1778.0
1999.958  1776.8
2000.042  1775.7
2000.125  1775.5
2000.208  1776.0
2000.292  1776.9
2000.375  1774.9
2000.458  1768.5
2000.542  1763.4
2000.625  1765.2
2000.708  1771.6
2000.792  1777.3
2000.875  1777.9
2000.958  1775.5
2001.042  1772.7
2001.125  1772.2
2001.208  1773.2
2001.292  1773.9
2001.375  1771.1
2001.458  1765.9
