Surface temperature (C)
Doubled CO2: 
GISS modelE-R for CMIP5
-----------------------
Year    Land   Ocean
-----------------------
   1   1.130   0.326
   2   1.579   0.633
   3   1.916   0.688
   4   2.141   0.717
   5   1.964   0.828
   6   2.102   0.753
   7   2.135   0.776
   8   2.125   0.753
   9   1.961   0.715
  10   2.144   0.817
  11   2.034   0.743
  12   2.032   0.768
  13   2.020   0.797
  14   2.194   0.837
  15   2.162   0.847
  16   2.086   0.884
  17   2.039   0.828
  18   1.977   0.813
  19   2.228   0.900
  20   2.184   0.892
  21   2.241   0.934
  22   2.135   0.896
  23   1.929   0.924
  24   2.296   0.941
  25   2.191   0.948
  26   2.309   0.928
  27   2.168   0.965
  28   2.374   0.984
  29   2.119   0.905
  30   2.168   0.912
  31   2.132   0.977
  32   2.157   0.963
  33   2.099   0.926
  34   2.001   0.949
  35   1.990   0.906
  36   2.158   0.911
  37   2.346   0.964
  38   2.326   0.980
  39   2.214   0.972
  40   2.125   0.965
  41   2.188   0.959
  42   2.161   0.915
  43   2.168   0.927
  44   2.168   0.993
  45   2.217   0.965
  46   2.395   0.993
  47   2.170   0.964
  48   2.289   1.031
  49   2.341   0.966
  50   2.270   0.962
  51   2.359   0.942
  52   2.095   0.960
  53   2.083   0.962
  54   2.345   1.047
  55   2.164   1.005
  56   2.266   0.989
  57   2.182   1.043
  58   2.086   1.018
  59   2.253   1.064
  60   2.378   1.046
  61   2.216   1.009
  62   2.174   0.992
  63   2.125   1.014
  64   2.244   1.013
  65   2.159   1.030
  66   2.193   1.039
  67   2.220   1.082
  68   2.098   0.996
  69   2.066   1.088
  70   2.260   1.101
  71   2.385   1.074
  72   2.391   1.084
  73   2.305   1.073
  74   2.138   1.059
  75   2.408   1.092
  76   2.247   1.084
  77   2.264   1.061
  78   2.240   1.091
  79   2.504   1.138
  80   2.366   1.143
  81   2.236   1.181
  82   2.191   1.183
  83   2.395   1.181
  84   2.243   1.180
  85   2.114   1.146
  86   2.191   1.119
  87   2.404   1.103
  88   2.398   1.138
  89   2.477   1.105
  90   2.438   1.142
  91   2.243   1.131
  92   2.303   1.123
  93   2.628   1.247
  94   2.243   1.145
  95   2.417   1.124
  96   2.312   1.160
  97   2.289   1.165
  98   2.207   1.123
  99   2.263   1.099
 100   2.503   1.108
 101   2.408   1.134
 102   2.214   1.116
 103   2.243   1.186
 104   2.302   1.093
 105   2.378   1.076
 106   2.168   1.022
 107   2.157   1.034
 108   2.109   1.152
 109   2.348   1.182
 110   2.424   1.248
 111   2.424   1.261
 112   2.401   1.199
 113   2.490   1.196
 114   2.490   1.186
 115   2.451   1.244
 116   2.341   1.226
 117   2.592   1.244
 118   2.415   1.159
 119   2.392   1.137
 120   2.336   1.142
 121   2.461   1.169
 122   2.578   1.127
 123   2.346   1.101
 124   2.372   1.057
 125   2.375   1.093
 126   2.313   1.169
 127   2.487   1.145
 128   2.605   1.186
 129   2.467   1.195
 130   2.430   1.191
 131   2.364   1.211
 132   2.639   1.236
 133   2.582   1.238
 134   2.536   1.202
 135   2.372   1.180
 136   2.461   1.234
 137   2.615   1.194
 138   2.318   1.216
 139   2.536   1.194
 140   2.394   1.291
 141   2.578   1.256
 142   2.418   1.251
 143   2.635   1.280
 144   2.467   1.241
 145   2.576   1.255
 146   2.348   1.254
 147   2.329   1.259
 148   2.507   1.265
 149   2.517   1.249
 150   2.539   1.268
 151   2.441   1.252
 152   2.757   1.331
 153   2.568   1.291
 154   2.438   1.218
 155   2.568   1.251
 156   2.467   1.208
 157   2.529   1.247
 158   2.336   1.216
 159   2.374   1.229
 160   2.434   1.236
 161   2.266   1.260
 162   2.364   1.211
 163   2.563   1.210
 164   2.573   1.267
 165   2.710   1.327
 166   2.330   1.277
 167   2.378   1.287
 168   2.494   1.283
 169   2.418   1.285
 170   2.589   1.306
 171   2.441   1.309
 172   2.451   1.300
 173   2.533   1.280
 174   2.674   1.312
 175   2.759   1.341
 176   2.513   1.301
 177   2.503   1.242
 178   2.415   1.215
 179   2.320   1.245
 180   2.313   1.285
 181   2.675   1.299
 182   2.598   1.285
 183   2.457   1.200
 184   2.553   1.234
 185   2.622   1.236
