Surface temperature (C)                                 
Doubled CO2
GISS modelE-R used in "Ice Melt" paper
--------------------------------------
Years    Land   Ocean
--------------------------------------
    1  0.7237  0.1224
    2  1.3587  0.3880
    3  1.3967  0.4659
    4  1.3767  0.5402
    5  1.6427  0.6393
    6  1.6627  0.6554
    7  1.5337  0.7192
    8  1.7307  0.7631
    9  1.7007  0.8603
   10  1.9187  0.8829
   11  2.0047  0.9132
   12  1.8917  0.9428
   13  1.8087  0.9183
   14  1.9797  0.9140
   15  2.0947  0.9274
   16  2.0097  0.9595
   17  2.0247  0.9892
   18  1.9747  0.9735
   19  1.8207  0.9740
   20  1.9707  1.0250
   21  2.1077  1.0251
   22  1.9257  0.9972
   23  2.0637  1.0222
   24  2.1847  1.0196
   25  1.9677  1.0041
   26  2.0737  1.0412
   27  2.0457  1.0386
   28  2.2137  1.0220
   29  1.9827  1.0069
   30  1.9267  0.9851
   31  1.9517  1.0386
   32  1.7197  1.0253
   33  1.9247  1.0453
   34  2.0697  1.0738
   35  2.1227  1.0741
   36  2.1047  1.0947
   37  2.0527  1.0950
   38  2.2007  1.1156
   39  2.0797  1.1014
   40  2.0897  1.0680
   41  2.1757  1.1211
   42  2.1147  1.1412
   43  2.2037  1.1663
   44  2.1367  1.1647
   45  2.1117  1.1805
   46  2.1687  1.1822
   47  2.1567  1.1687
   48  2.2637  1.1299
   49  2.3277  1.1513
   50  2.0167  1.1714
   51  2.3387  1.2016
   52  2.2237  1.2492
   53  2.3287  1.2486
   54  2.1257  1.2323
   55  2.1537  1.2279
   56  2.0597  1.2107
   57  2.1147  1.1795
   58  2.3147  1.2365
   59  2.2807  1.2236
   60  2.1147  1.2010
   61  2.4477  1.2031
   62  2.3307  1.2409
   63  2.4697  1.2808
   64  2.4597  1.2502
   65  2.3357  1.2486
   66  2.2637  1.2232
   67  2.3987  1.1868
   68  2.2557  1.2099
   69  2.1687  1.2291
   70  2.4567  1.2920
   71  2.2777  1.2684
   72  2.3007  1.2992
   73  2.4587  1.2688
   74  2.3557  1.2768
   75  2.4127  1.3146
   76  2.2597  1.2786
   77  2.3177  1.2387
   78  2.2927  1.2550
   79  2.2337  1.2444
   80  2.2467  1.2224
   81  2.3157  1.2406
   82  2.1477  1.2525
   83  2.5137  1.2811
   84  2.1517  1.2629
   85  2.2757  1.2832
   86  2.2757  1.2456
   87  2.1577  1.2566
   88  2.3047  1.2393
   89  2.3227  1.2310
   90  2.2957  1.2273
   91  2.0587  1.2149
   92  2.3847  1.2344
   93  2.1317  1.2432
   94  2.3427  1.2777
   95  2.4427  1.2545
   96  2.2297  1.3020
   97  2.4557  1.3029
   98  2.4897  1.2810
   99  2.2217  1.2454
  100  2.2297  1.2646
  101  2.2787  1.2794
  102  2.1697  1.2562
  103  2.3737  1.2424
  104  2.3437  1.2626
  105  2.5697  1.2920
  106  2.3737  1.2924
  107  2.3907  1.2363
  108  2.4547  1.2400
  109  2.4657  1.2859
  110  2.4347  1.2933
  111  2.3327  1.2887
  112  2.2727  1.2863
  113  2.5537  1.2576
  114  2.2437  1.2274
  115  2.4787  1.2423
  116  2.3437  1.2501
  117  2.2407  1.2505
  118  2.2787  1.2568
  119  2.3237  1.2347
  120  2.4267  1.2353
  121  2.2147  1.2280
  122  2.2727  1.2624
  123  2.2397  1.2990
  124  2.3527  1.2992
  125  2.3477  1.2818
  126  2.3707  1.2767
  127  2.2787  1.2825
  128  2.4457  1.3566
  129  2.4437  1.3229
  130  2.3657  1.3366
  131  2.3327  1.3032
  132  2.4137  1.3204
  133  2.5087  1.3413
  134  2.3687  1.2931
  135  2.4317  1.2631
  136  2.3877  1.2983
  137  2.5327  1.2901
  138  2.3517  1.2756
  139  2.4907  1.3012
  140  2.5377  1.3248
  141  2.4027  1.3099
  142  2.4117  1.3566
  143  2.3207  1.3356
  144  2.4007  1.2997
  145  2.4517  1.3062
  146  2.5157  1.2980
  147  2.4387  1.3227
  148  2.5247  1.3159
  149  2.2657  1.2999
  150  2.4437  1.2700
  151  2.4407  1.3124
  152  2.3467  1.3113
  153  2.1637  1.3261
  154  2.3627  1.3335
  155  2.4247  1.3504
  156  2.5767  1.3507
  157  2.2887  1.3331
  158  2.4497  1.3050
  159  2.4447  1.3432
  160  2.3627  1.3381
  161  2.3617  1.3573
  162  2.4187  1.3242
  163  2.5437  1.3405
  164  2.5167  1.3554
  165  2.5467  1.3512
  166  2.4397  1.3365
  167  2.5687  1.3494
  168  2.4237  1.3267
  169  2.4177  1.3223
  170  2.4847  1.3442
  171  2.4447  1.3935
  172  2.5657  1.3677
  173  2.4087  1.3757
  174  2.5377  1.3938
  175  2.4017  1.3868
  176  2.4847  1.3759
  177  2.4747  1.3959
  178  2.2607  1.4269
  179  2.5977  1.4356
  180  2.6897  1.3970
  181  2.6597  1.3711
  182  2.5207  1.3667
  183  2.5187  1.3641
  184  2.5647  1.3203
  185  2.4697  1.3742
  186  2.5097  1.3892
  187  2.4767  1.3615
  188  2.5727  1.3406
  189  2.5217  1.3461
  190  2.4957  1.3569
  191  2.4727  1.3363
  192  2.3527  1.3357
  193  2.3737  1.3660
  194  2.6627  1.3944
  195  2.5657  1.3921
  196  2.6127  1.3737
  197  2.4307  1.3577
  198  2.5117  1.3774
  199  2.7487  1.4548
  200  2.5467  1.4285
  201  2.6387  1.4069
  202  2.4387  1.3864
  203  2.4877  1.4250
  204  2.4487  1.4159
  205  2.4267  1.4090
  206  2.4007  1.4149
  207  2.5197  1.4146
