 Total solar irradiance (W/m2)
 -----------------------------
    year   31-day mean
 -----------------------------
  1976.173  1360.7102
  1976.176  1360.6942
  1976.179  1360.6772
  1976.181  1360.6517
  1976.184  1360.6377
  1976.187  1360.6301
  1976.189  1360.6327
  1976.192  1360.6334
  1976.195  1360.6322
  1976.198  1360.6187
  1976.200  1360.5994
  1976.203  1360.5842
  1976.206  1360.5691
  1976.208  1360.5569
  1976.211  1360.5446
  1976.214  1360.5372
  1976.216  1360.5344
  1976.219  1360.5354
  1976.222  1360.5388
  1976.224  1360.5360
  1976.227  1360.5289
  1976.230  1360.5214
  1976.232  1360.5223
  1976.235  1360.5221
  1976.238  1360.5201
  1976.240  1360.5203
  1976.243  1360.5181
  1976.246  1360.5134
  1976.249  1360.5077
  1976.251  1360.5015
  1976.254  1360.5013
  1976.257  1360.5048
  1976.259  1360.5132
  1976.262  1360.5232
  1976.265  1360.5377
  1976.267  1360.5447
  1976.270  1360.5479
  1976.273  1360.5476
  1976.276  1360.5487
  1976.278  1360.5485
  1976.281  1360.5582
  1976.284  1360.5731
  1976.286  1360.5852
  1976.289  1360.5938
  1976.292  1360.6062
  1976.294  1360.6233
  1976.297  1360.6370
  1976.300  1360.6470
  1976.302  1360.6523
  1976.305  1360.6550
  1976.308  1360.6553
  1976.310  1360.6561
  1976.313  1360.6569
  1976.316  1360.6559
  1976.318  1360.6560
  1976.321  1360.6566
  1976.324  1360.6573
  1976.327  1360.6603
  1976.329  1360.6648
  1976.335  1360.6715
  1976.337  1360.6793
  1976.340  1360.6866
  1976.343  1360.6942
  1976.345  1360.6997
  1976.348  1360.7058
  1976.351  1360.7103
  1976.354  1360.7148
  1976.356  1360.7190
  1976.359  1360.7206
  1976.362  1360.7239
  1976.364  1360.7281
  1976.367  1360.7322
  1976.370  1360.7367
  1976.372  1360.7426
  1976.375  1360.7540
  1976.378  1360.7600
  1976.380  1360.7617
  1976.383  1360.7628
  1976.386  1360.7639
  1976.388  1360.7660
  1976.391  1360.7684
  1976.394  1360.7719
  1976.396  1360.7761
  1976.399  1360.7793
  1976.402  1360.7831
  1976.405  1360.7881
  1976.407  1360.7911
  1976.410  1360.7959
  1976.413  1360.7971
  1976.415  1360.7980
  1976.418  1360.7954
  1976.421  1360.7877
  1976.423  1360.7775
  1976.426  1360.7679
  1976.429  1360.7617
  1976.431  1360.7528
  1976.434  1360.7493
  1976.437  1360.7463
  1976.439  1360.7421
  1976.442  1360.7418
  1976.445  1360.7383
  1976.448  1360.7380
  1976.450  1360.7365
  1976.453  1360.7358
  1976.456  1360.7347
  1976.458  1360.7330
  1976.461  1360.7329
  1976.464  1360.7332
  1976.466  1360.7333
  1976.469  1360.7333
  1976.472  1360.7333
  1976.474  1360.7333
  1976.477  1360.7333
  1976.480  1360.7323
  1976.482  1360.7323
  1976.485  1360.7319
  1976.488  1360.7319
  1976.490  1360.7312
  1976.493  1360.7299
  1976.496  1360.7289
  1976.501  1360.7275
  1976.504  1360.7266
  1976.507  1360.7285
  1976.509  1360.7325
  1976.512  1360.7356
  1976.515  1360.7350
  1976.517  1360.7358
  1976.520      *
  1976.523      *
  1976.526      *
  1976.528      *
  1976.531      *
  1976.534      *
  1976.536      *
  1976.539      *
  1976.542      *
  1976.544      *
  1976.547      *
  1976.550      *
  1976.552      *
  1976.555      *
  1976.558      *
  1976.560      *
  1976.563      *
  1976.566      *
  1976.568      *
  1976.571      *
  1976.574      *
  1976.577      *
  1976.579      *
  1976.582  1360.5769
  1976.585  1360.5870
  1976.587  1360.5927
  1976.590  1360.5946
  1976.593  1360.6007
  1976.595  1360.6078
  1976.598  1360.6156
  1976.601  1360.6217
  1976.604  1360.6277
  1976.606  1360.6333
  1976.609  1360.6382
  1976.612  1360.6428
  1976.614  1360.6476
  1976.617  1360.6517
  1976.620  1360.6545
  1976.622  1360.6564
  1976.625  1360.6514
  1976.628  1360.6455
  1976.630  1360.6421
  1976.633  1360.6425
  1976.636  1360.6439
  1976.638  1360.6493
  1976.641  1360.6580
  1976.644  1360.6687
  1976.646  1360.6816
  1976.649  1360.6897
  1976.652  1360.6946
  1976.655  1360.6945
  1976.657  1360.6948
  1976.660  1360.6965
  1976.663  1360.6981
  1976.665  1360.6993
  1976.668  1360.7015
  1976.671  1360.7043
  1976.673  1360.7106
  1976.676  1360.7140
  1976.679  1360.7128
  1976.681  1360.7104
  1976.684  1360.7089
  1976.687  1360.7068
  1976.689  1360.7045
  1976.692  1360.7046
  1976.695  1360.7035
  1976.698  1360.7015
  1976.700  1360.6978
  1976.703  1360.6946
  1976.706  1360.6912
  1976.708  1360.6910
  1976.711  1360.6932
  1976.714  1360.6951
  1976.716  1360.6992
  1976.719  1360.7075
  1976.722  1360.7134
  1976.724  1360.7181
  1976.727  1360.7189
  1976.730  1360.7183
  1976.732  1360.7178
  1976.735  1360.7213
  1976.738  1360.7323
  1976.740  1360.7397
  1976.743  1360.7423
  1976.746  1360.7415
  1976.751  1360.7400
  1976.754  1360.7380
  1976.757  1360.7378
  1976.759  1360.7382
  1976.762  1360.7380
  1976.765  1360.7418
  1976.767  1360.7441
  1976.770  1360.7405
  1976.773  1360.7351
  1976.776  1360.7305
  1976.778  1360.7240
  1976.781  1360.7219
  1976.784  1360.7236
  1976.786  1360.7263
  1976.789  1360.7296
  1976.792  1360.7339
  1976.794  1360.7384
  1976.797  1360.7422
  1976.800  1360.7471
  1976.802  1360.7485
  1976.805  1360.7479
  1976.808  1360.7474
  1976.810  1360.7471
  1976.813  1360.7471
  1976.816  1360.7471
  1976.818  1360.7471
  1976.821  1360.7471
  1976.824  1360.7438
  1976.827  1360.7386
  1976.829  1360.7339
  1976.832  1360.7338
  1976.835  1360.7321
  1976.837  1360.7317
  1976.840  1360.7313
  1976.843  1360.7266
  1976.845  1360.7223
  1976.848  1360.7157
  1976.851  1360.7089
  1976.854  1360.7118
  1976.856  1360.7159
  1976.859  1360.7205
  1976.862  1360.7253
  1976.864  1360.7251
  1976.867  1360.7208
  1976.870  1360.7188
  1976.872  1360.7174
  1976.875  1360.7162
  1976.878      *
  1976.880      *
  1976.883      *
  1976.886      *
  1976.888      *
  1976.891  1360.7217
  1976.894  1360.7168
  1976.896  1360.7212
  1976.899  1360.7172
  1976.902  1360.7095
  1976.905  1360.7035
  1976.907  1360.7021
  1976.910  1360.7000
  1976.913  1360.6976
  1976.918  1360.6925
  1976.921  1360.6901
  1976.923  1360.6842
  1976.926  1360.6781
  1976.929  1360.6720
  1976.931  1360.6653
  1976.934  1360.6587
  1976.937  1360.6626
  1976.939  1360.6620
  1976.942  1360.6614
  1976.945  1360.6599
  1976.948  1360.6592
  1976.950  1360.6586
  1976.953  1360.6567
  1976.956  1360.6547
  1976.958  1360.6547
  1976.961  1360.6547
  1976.964  1360.6626
  1976.966  1360.6626
  1976.969  1360.6626
  1976.972  1360.6626
  1976.974  1360.6639
  1976.977  1360.6637
  1976.980  1360.6710
  1976.982  1360.6647
  1976.985  1360.6658
  1976.988  1360.6714
  1976.990  1360.6764
  1976.993  1360.6798
  1976.996  1360.6824
  1976.999  1360.6847
  1977.001  1360.6866
  1977.004  1360.6898
  1977.007  1360.6940
  1977.009  1360.7007
  1977.012      *
  1977.015      *
  1977.017      *
  1977.020      *
  1977.023      *
  1977.026      *
  1977.028      *
  1977.031      *
  1977.034      *
  1977.036      *
  1977.039      *
  1977.042      *
  1977.044      *
  1977.047      *
  1977.050      *
  1977.052      *
  1977.055      *
  1977.058      *
  1977.060      *
  1977.063      *
  1977.066      *
  1977.068      *
  1977.071      *
